Date,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BRA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KHM,KOR,LAO,LBN,LBR,LBY,LTU,LUX,LVA,MAR,MEX,MKD,MLI,MLT,MNG,MRT,MWI,MYS,NER,NGA,NLD,NOR,NZL,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SOM,SRB,SSD,SVK,SVN,SWE,SYR,TCD,THA,TON,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,VUT,ZAF
2015,90.0,,,98.0,67.0,91.0,83.0,65.0,79.0,,,99.0,69.0,58.0,,93.0,84.0,,,83.0,,,83.0,91.0,,83.0,88.0,88.0,88.0,95.0,,89.0,,95.0,93.0,83.0,50.0,,84.0,82.0,94.0,71.0,76.0,,,95.0,88.0,85.0,69.0,,85.0,,73.0,55.0,,,,89.0,,85.0,,,,,72.0,89.0,85.0,73.0,,,69.0,,,,,92.0,75.0,,,83.0,92.0,91.0,90.0,98.0,85.0,81.0,94.0,88.0,,74.0,64.0,97.0,,,,,,,74.0,,,71.0,89.0,,,94.0,,90.0,78.0,,,,67.0,,81.0,,78.0,,86.0
2016,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,90.0,,,91.0,95.0,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,85.962875,82.47734,,94.51553,71.10818,,80.75356,58.399998,,,,,69.96381,67.2,,,,,,,,,,92.16711,,84.88489,83.26489,,,94.19795,,91.19912,,,95.76803,,72.916664,,86.03015,,,,77.05545,,,87.5121,93.91824,87.833824,,89.0,,,87.3057,68.516914,65.375,,,87.933334,,,,,,,,,85.8,68.974144,,,,,,78.960396,,93.0,,,,85.1925,85.3,,89.8,87.9,,85.82677,,,,86.62675,67.13333,,,,,,,,74.455444,,,,,95.62682,,98.333336,,,,,,,,,88.66799,,96.80639,,
2020,,,,89.0,,,84.0,,84.0,,83.0,,,,,86.0,,,,,67.0,,68.01858,,83.28001,84.0,82.5,93.0,,81.0,,90.0,84.0,83.963425,94.0,,75.0,68.0,87.0,,,,,84.130005,87.0,,92.0,87.0,,,,,82.5,,,80.0,,80.0,,88.0,,,89.0,87.0,75.0,78.0,,,,83.0,,,88.0,,88.0,90.49483,82.0,,,,75.0,,80.0,,,89.0,94.0,,,81.0,,90.0,72.0,66.0,,,,,,,83.0,81.0,90.0,,,,,79.0,,,,82.0,,,77.15349,,,,73.0
2021,,,,,,,,,,,80.490234,,,,,,,,,95.0,,,,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,59.999996,,78.50024,85.0,65.0,93.0,,,75.0,,,,,,,,,71.0,,,81.0,,,,,,,,,,,41.0,,,,,,,,76.0,,,73.0,,71.0,,,,,,,,,98.0,57.000004,,,,,,,,,91.0,82.0,
2022,,,,85.0,,85.0,77.5,,74.7,58.0,90.0,,58.3,,48.0,88.0,82.0,,,,71.06355,69.0,64.61759,,82.07172,70.5,82.717285,88.011986,,,,89.5,72.6,,88.0,85.0,76.12388,,,,68.97782,78.9,,68.0,78.2,83.0,97.0,87.6,,,,,85.1,61.0,,88.0,97.0,54.0,91.0,,78.0,68.0,72.4,84.799995,60.83916,,93.0,,87.45192,71.8,71.0,,,69.0,78.96337,81.48381,74.4,,81.0,,68.0,,87.0,68.0,83.0,80.1,93.200005,,,77.700005,59.0,,80.36367,69.6052,,70.0,87.0,,,77.0,59.8,66.299995,85.4,73.0,75.0,,91.0,,70.0,,,84.57014,,85.0,73.0,88.0,97.0,69.0,74.0
2023,,,79.0,79.0,62.0,78.0,69.0,,68.0,67.0,82.0,,47.0,56.0,55.0,81.0,74.0,68.0,70.0,,79.42909,52.0,76.0,71.0,,,71.0,77.0,,,81.0,78.0,61.0,94.0,77.0,,63.50746,,70.0,65.0,79.291214,66.0,68.0,52.0,50.0015,77.0,90.0,72.0,,74.0,,66.0,67.49751,51.0,59.0,88.0,,59.0,,,89.0,81.0,53.0,,42.0,,86.0,70.0,81.11376,,,,,74.0,92.1254,88.523605,70.0,79.0,75.0,,81.0,,,82.0,,68.0,84.0,,80.0,58.0,57.0,81.0,82.0,61.000652,,,88.0,85.0,,79.0,54.000004,50.0,73.0,,83.0,82.0,,43.964287,59.0,68.0,65.0,83.0,59.0,,77.0,,98.0,,72.0
2024,,,,80.0,,,,,,78.0,,,,,,79.0,,,,,88.0,,,80.0,,,,,,,,,,,,,,,,,84.0,,,,,82.0,,,,,,,,,,89.0,,,,,,73.0,,,,,86.0,,91.0,,,,,83.0,95.0,,,,,,,,,92.0,,,,,,,,,82.0,86.16269,86.0,,,94.0,,,,,,,80.0,86.0,,60.0,,,93.0,,,,,,91.0,,75.0
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
