Date,ALB,AND,ARG,ARM,AUS,AUT,AZE,BEL,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LBN,LBY,LTU,LUX,LVA,MAC,MAR,MDA,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MYS,NGA,NIC,NLD,NOR,NZL,OWID_CYN,OWID_KOS,PAK,PER,PHL,POL,PRI,PRT,PSE,QAT,ROU,RUS,RWA,SGP,SLV,SRB,SVK,SVN,SWE,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
1984,,,24.56988,,79.94472,,,60.57837,,,,,,,,84.36402,,,,,,,70.42475,85.2357,,,,,63.04557,,,87.13858,64.30628,85.91397,,,,,,,,,,,85.48685,,,75.51151,67.62101,,66.44086,,,,71.64948,,,,,,,,,,,31.58449,,,50.53533,,,,,,,71.79987,88.39201,,,,,,,,,,,,,,,,,,,,78.72117,,,,,,,,,,,73.67545,,,,,58.27068,,
1993,,,26.24751,,,66.62203,,50.7597,,,45.84139,,21.28079,,37.99319,83.77206,,58.73333,64.7,,,37.58655,63.74346,88.25243,,,,,44.66957,18.84921,,74.31973,65.06986,76.72813,,,,,,,,50.15015,,39.08,85.39999,,,84.04559,66.6637,,57.76459,,,,52.59792,,,,28.4,,19.71207,,,,,31.67864,,,50.79225,,,,,43.65634,,72.88361,87.57062,,,,,,,29.84375,,43.85966,,,44.69628,34.11525,,,,,36.01748,51.20773,73.0659,,,,,61.45631,,,,,,74.42101,,,,,61.69514,,
1998,71.87187,,22.23116,31.3,75.21461,,37.71229,,,36.13115,48.13433,78.66667,36.80688,,44.88189,,66.6124,50.1096,,49.02905,,43.41761,60.85883,,11.99041,,,,60.47514,49.95103,,84.90375,,,37.15139,,,,,59.36455,,54.92308,,35.73529,,,,,,,76.37571,,,,47.23779,,,,19.7225,,30.33333,,,33.23171,,33.04636,25.32663,,,,52.08333,,,28.53464,,,85.35936,78.35137,,,16.42412,21.13955,54.91667,51.25759,55.75602,,,,37.7724,29.80392,,,48.88357,43.125,38.99543,46.27607,80.17839,,,,,71.09631,57.94872,,,35.32551,53.21513,69.08447,,29.75,,,73.68132,,
2004,64.3,,23.8147,,,74.38279,,55.24424,,52.6,44.48927,63.33333,38.5,,,78.10736,,54.64889,71.3,,,32.4745,72.56503,89.83382,,62.94852,,87.43333,57.5738,33.00883,,89.61813,65.50169,68.66467,,,27.84588,,,52.57472,,44.80233,51.2,33.96603,82.56715,49.72354,,82.43802,66.2,87.69776,48.09104,,,22.91467,49.08334,,,,24.75791,69.78844,38.69694,,51.55962,34.18133,,29.14832,50.39748,,66.48112,,37.92453,,,34.37191,,63.82672,,,,,27.95,16.18921,60.64964,53.48558,55.69444,63.97829,,,44.06632,28.34387,,,,45.91667,42.37175,49.60239,75.36437,,,,,69.56199,,65.41418,54.18202,31.33562,,70.68719,,41.25,91.0,,54.86836,,62.27836
2010,59.07684,61.4059,21.04544,44.92405,81.99451,67.53938,,71.24422,49.34383,,40.58551,53.78634,57.97637,,44.5021,80.7366,81.54127,56.43943,74.43291,49.19008,62.2628,41.28156,72.42841,89.60658,,,,,64.52485,67.90708,29.93333,91.04227,73.12734,69.32108,50.43291,54.1721,53.16288,25.02916,82.10863,36.27799,,49.34912,49.85104,56.17191,68.68803,55.34308,,91.75343,75.79325,89.24802,65.14599,,,,58.63443,,,,42.6776,73.53271,52.48334,,59.5,33.38452,,33.07692,59.09256,63.21312,79.91792,,42.62422,,74.60449,,,64.35668,85.93497,72.43187,80.60171,70.25417,,15.66569,,51.92327,,76.35962,,,45.84444,34.3655,84.05316,,,34.44292,52.18521,53.2188,73.8884,43.35072,,27.93694,,76.67107,37.25531,,,29.64607,52.6,69.53728,,,88.89632,,61.01267,43.86667,
2014,,,24.95667,38.13701,82.84526,,60.35926,,,,,,54.59698,,45.02842,,,63.9,66.61793,45.43651,56.57449,,81.65542,,,52.33333,47.08818,50.34449,58.68122,77.10854,,,,,49.75042,56.81313,,,79.6,,4.361211,,,49.16626,,,57.41666,,,81.91666,68.15392,50.30386,,54.93333,58.28812,68.22717,42.0,55.13338,,,,,61.5,,,28.4,,,,,,,73.69231,29.93114,,65.50999,,78.478,,,20.6171,27.86481,66.98798,50.45956,,,52.5,95.92461,42.37287,31.81861,63.2613,79.40494,,,,42.09542,79.11945,45.99593,,28.02803,59.08714,74.3551,62.13055,,,31.64777,56.0,68.2277,82.46667,,,28.6,45.3199,,56.46145
2022,57.65759,76.19521,29.7931,41.63303,80.08109,84.88924,78.30335,,,45.16666,34.63946,56.99744,59.47251,15.14272,54.15098,68.50364,84.93941,46.94456,84.52081,24.67105,51.62632,60.32165,83.34177,87.61541,,,52.83333,,66.40277,80.13661,58.17738,93.60593,77.89206,70.6396,57.34931,,70.74888,14.48332,67.40272,45.50864,,66.29034,67.51146,66.4073,,84.85657,54.5,89.84678,79.87067,92.51871,78.64006,65.1254,35.46604,48.38678,56.54619,,55.5,50.29288,69.76015,,68.10967,73.62205,47.33333,,62.17517,21.27106,54.11433,,,60.33334,46.98047,46.55075,59.48211,26.97814,25.75,69.8599,87.91435,87.43914,,,42.45614,24.81902,80.17355,59.84363,48.53594,82.87135,,,49.94109,52.24391,,86.19527,,44.77314,53.13344,61.45729,85.78632,50.67443,80.58334,,46.57763,83.64389,82.47159,,,35.91804,68.20988,68.19264,82.06565,14.45378,90.33333,,,,50.37037
