Date,ABW,AFG,AGO,ALB,ARE,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_KOS,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCD,TGO,THA,TJK,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1970,,,,,,,,10.171696,25.299734,,1.6701752,20.95693,,15.021843,,,20.036402,17.796726,,,,3.8314578e-05,,7.7640357,,,,,17.4585,33.373287,0.0011247479,,8.095875,7.8778615,1.3024567e-13,,0.1606792,,,0.31385306,,,15.556217,,31.802702,,10.435916,14.572733,0.55200136,2.7385802,0.018999185,1.640193,5.1413307,,5.2271013,13.171413,8.660744,15.421279,,12.220085,9.3347025,,0.0017836691,,2.5535872,,,1.379006,,1.9033202,,,1.965001,,1.122305,,1.155253,4.5980954,8.0724325,0.16788736,74.14461,0.12691697,0.0015368537,6.107558,0.17686138,8.116073,32.671284,,0.892816,,,,,5.3832636,,,,,15.101968,10.456922,1.9848753,,,22.020405,,,12.44816,,0.66209686,,0.016870655,,,24.883032,0.20709902,,,,,3.5068443,,23.35636,,,14.8344755,0.0991801,,25.077349,13.963306,4.3447967,,7.2327766,,,2.9156933,29.189508,9.910411e-08,1.9011893,,,0.021040345,1.8314704,0.5650433,,,,,2.4319913,22.476564,0.001432815,11.721284,30.716877,,,2.0568993,,,,,0.012171718,,,13.688279,1.7800422,,6.126871,1.714656,,10.390695,12.776209,,,,3.091484,,9.654512e-05,,0.16826458,,,0.0001436185,17.8051,,,,,,4.491075,,2.3504114,,
1971,,,,,,,,10.796046,26.489899,,1.734493,21.867222,,15.331476,,,21.196405,18.61804,,,,3.972249e-05,,8.343951,,,,,17.930738,35.566986,0.0013502849,,8.05995,8.194081,1.3777041e-13,,0.17986472,,,0.3235293,,,16.200869,,33.469475,,10.815513,15.428133,0.57176316,2.8105128,0.020808225,1.691702,5.564816,,5.2551303,14.0243635,9.45218,16.253645,,12.692179,10.216351,,0.001954167,,2.6316304,,,1.424368,,1.8946868,,,2.008688,,1.2298172,,1.2041636,4.739714,8.795864,0.17493074,76.81077,0.13546087,0.0017208547,6.4002113,0.18629903,8.506931,34.760727,,0.9265663,,,,,6.110634,,,,,14.633225,11.334398,2.0377798,,,23.049246,,,12.9654255,,0.6977566,,0.017793316,,,25.461266,0.21142307,,,,,3.517938,,23.733105,,,15.45628,0.11504804,,26.952553,14.832363,4.257922,,7.984086,,,3.0536258,29.749842,1.0583392e-07,2.3081074,,5.5047045,0.021271788,2.0502744,0.5930313,,,,,2.4438736,23.482391,0.0014514942,12.175859,31.257803,2.4596372,,2.0660691,,,,,0.012197955,,,14.700602,1.8213687,,7.021351,1.8108382,,11.065266,12.838129,,,,3.200645,,0.0001148997,,0.17629921,,,0.00017801956,18.569431,,,,,,4.7051396,,2.4904351,,
1972,,,,,,,,11.44641,28.17337,,1.8008991,23.058641,,14.883283,,,22.27492,19.889805,,,,4.230904e-05,,9.334933,,,,,18.825129,37.93575,0.0024007491,,8.084961,8.857222,1.5954394e-13,,0.20224792,,,0.3384153,,,16.983744,,35.305252,,11.214388,16.440582,0.6211677,2.9132738,0.022374067,1.7272677,6.0251536,,4.9355392,14.958736,11.529628,17.239103,,13.134767,10.938758,,0.002150895,,2.8605328,,,1.4860603,,1.904723,,,2.0812473,,1.2690445,2.2356448,1.282696,5.045051,9.552819,0.18612322,80.794136,0.14875136,0.0019425259,6.768192,0.19641078,9.158363,36.44437,,0.98060036,,,,,6.8249054,20.061058,,,,14.596493,12.227613,2.1671684,,,24.253725,,,13.452818,,0.73698837,,0.018672964,,,26.320015,0.22758134,,,,,3.7077637,,24.500053,,,16.963448,0.119026,,29.055605,15.908961,4.6151204,,8.537607,,,3.2119026,31.359175,1.1347483e-07,2.4974654,,5.839115,0.021250747,2.2689023,0.6474738,,,,,2.5194428,24.499454,0.0016482406,12.925269,31.908201,2.6288,,2.0977876,,,,,0.012592472,,,15.583724,1.8644683,,8.491692,1.8488362,,11.920235,13.4592085,,,,3.4983392,,0.00013261318,,0.18976039,,,0.00031417768,19.177074,,,,,,5.0583463,,2.6504626,,
1973,,,,,,,,12.486993,30.29513,,1.90907,24.662436,,16.014992,,,25.467321,20.980114,,,,5.5630473e-05,,10.908344,,,,,20.234688,41.2569,0.010870855,,8.982633,9.777022,1.8450103e-13,,0.24781366,,,0.3899019,,,18.309984,,37.787926,,12.57123,17.970114,0.7148369,3.0931056,0.025087629,1.8155688,6.713028,,5.3754725,16.567469,12.807723,18.511454,,13.95006,11.94469,,0.0025312363,,3.0584419,,,1.714685,,2.1674993,,,2.1893308,,1.5576116,2.311388,1.680869,5.899724,10.64326,0.20439957,84.745766,0.18051712,0.0023316601,7.499063,0.2311413,10.177662,40.67506,,1.0716118,,,,,7.0447373,21.719439,,,,15.759964,13.8710785,2.375794,5.729151,,25.725466,,,14.002314,,0.7820928,,0.02092902,,,28.343836,0.28493184,,,,,4.206487,,27.087301,,,18.962593,0.12545657,,31.386505,17.089323,5.142618,,9.234845,,,3.952891,33.509293,1.2424252e-07,2.9115458,,6.3262815,0.021776756,2.5632834,0.73033035,,,,,2.7556071,28.545237,0.0019002415,14.383926,38.17393,2.713676,,2.2318778,,,,,0.01422204,,,16.630638,2.0796938,,10.040559,2.225253,,12.351189,15.546671,,,,4.0164695,,0.000151097,,0.2094894,,,0.0006189215,20.361788,,,,,,5.6534224,,2.9005067,,
1974,,,,,,,,14.412071,33.179768,,2.20922,27.789112,,17.411436,,,31.679565,23.722603,,,,9.058648e-05,,15.154191,,,3.038577,,22.45993,45.286633,0.06574025,,10.541964,11.461889,2.3887215e-13,,0.30696917,,,0.5071596,,,21.271929,,40.42795,,16.892725,20.715086,0.80877197,3.2384696,0.030783543,1.9975672,7.7656555,,5.8373413,19.373402,14.664647,21.038141,,15.634224,13.861097,,0.0029902689,,3.340929,,,2.1701198,,2.525026,,,2.4706497,,1.7904854,2.3529246,2.3614833,7.5869703,12.450073,0.23352434,91.27119,0.2572661,0.003256862,8.935866,0.2939151,12.154949,50.120724,,1.2624652,,,,,8.756905,24.54136,,,,16.935413,18.617846,2.668085,6.498165,,28.179844,,,16.460674,,0.95494276,,0.02590678,,,30.400356,0.3567679,,,,,5.431233,,31.781256,,,19.606848,0.14135744,,34.39692,18.69773,6.1611824,,10.260781,,,5.0068517,38.96061,1.4522915e-07,3.9062345,,7.7919087,0.0233127,3.2062263,0.91461694,,,,,3.6122787,34.664482,0.0023973086,16.771814,46.712833,3.2252898,,2.6090436,,,,,0.01662218,,,18.279022,2.4808204,,12.492932,2.5707965,,13.936085,19.32662,,,,4.901096,,0.00018720642,,0.25054595,,,0.0010968118,22.612745,,19.623981,,,,7.0660815,,3.240566,,
1975,,,,,,,,16.597294,35.981884,,2.5562856,31.33728,,20.67729,,,36.798916,26.180178,,,,9.7812335e-05,,18.229654,,,3.402439,,24.856897,48.319294,0.31209219,,11.748409,13.015357,3.0732806e-13,,0.37891504,,,0.5952491,,,22.258837,,42.817383,,20.254848,22.704897,0.9260579,3.5050058,0.035182413,2.1907258,9.08219,,6.219693,22.824076,16.580566,23.496643,,20.08262,17.216494,,0.0038821034,,4.207065,,,2.4658804,,2.8573005,,,2.6775954,,2.0908136,2.4433277,2.8140779,8.023102,15.049131,0.26360035,99.95763,0.3842561,0.0045370283,10.450541,0.3449862,13.611091,56.00052,,1.5038509,,,,,10.9679575,26.600962,,,,18.479788,21.921171,2.8448722,7.4216805,,31.200066,,,17.764078,,1.0331641,,0.029778428,,,33.073055,0.46970513,,,,,6.231705,,33.207508,,,21.394169,0.18936834,,37.911415,20.883348,6.6285686,,11.767575,,,6.0535097,41.2519,1.7953045e-07,4.1703506,,8.609358,0.02383871,3.695871,0.97583276,,,,,4.704128,46.65011,0.0029717768,22.08067,47.89772,3.5500586,,3.107071,,,,,0.01802631,,,20.066687,2.7796535,,14.818038,2.8655376,,16.446281,20.356747,,,6.877295,5.733256,,0.00022694538,,0.3158326,,,0.0019896757,24.680262,,20.957962,,,,7.687031,,3.675642,,
1976,,,,,,,,18.808533,38.615288,,2.7315586,34.179134,,18.940248,,,45.077114,27.294363,,,,0.00010220803,,19.138725,,,3.8016279,,26.73154,49.1482,0.9734913,,13.167222,14.307867,5.5437664e-13,,0.45405856,,,0.6159985,,,23.11678,,44.635677,,22.463133,24.750673,0.99797136,3.8355536,0.038762093,2.416752,10.682915,,7.9946594,26.097662,18.476128,25.75831,,24.133598,20.067463,,0.006059229,,4.9234157,,,2.7870436,17.307959,3.1637459,,,2.8083537,,2.2379682,2.5710747,3.3720715,7.4106226,17.755823,0.2932716,112.77542,0.50735295,0.005957611,12.1868105,0.37877294,15.176366,61.250027,,1.6760273,,,,,12.649052,27.993534,,,,19.492334,24.040754,2.8826954,8.268683,,34.256844,,,19.274408,,1.0846862,,0.034490783,,,33.255455,0.5748458,,,,,7.039068,,34.0821,,,26.42815,0.23538485,,41.25924,22.796572,6.4222054,,13.757102,,,6.48684,42.881348,2.396431e-07,4.553991,,9.268546,0.024890726,4.4772487,1.0194975,,,,,5.0412188,61.37226,0.0030215506,22.319822,47.015495,3.701125,,3.3256435,,,,,0.019841475,,,22.123367,2.9611902,,17.021294,3.1930277,,18.360748,21.20141,,,7.3662415,6.3462825,,0.00026656027,,0.33749667,,,0.0029969104,26.098095,,23.323904,,,19.574099,8.063978,,4.080713,,
1977,,,,,,,,21.123829,40.73705,,2.9182475,36.60449,,24.619692,,,53.06979,28.16502,,,,0.0001104943,,20.73726,49.39792,,4.3022537,,28.863766,49.78516,1.8686569,,16.77792,16.410881,9.366067e-13,,0.6075431,,,0.64181036,,,24.810421,,46.302444,,24.597952,27.454,1.1262459,4.295409,0.04377962,2.724457,13.304295,,9.326341,29.175451,19.770622,28.203947,,27.476723,23.246202,,0.013115214,,5.533414,,,3.1317952,20.502468,3.5536642,,,3.0452302,,2.383255,2.6715753,3.7447557,8.0262575,20.147932,0.3732989,123.11441,0.66116583,0.00801994,14.274417,0.42116144,17.387033,66.249146,,1.9244307,,,,,13.926185,30.76196,,,,20.716496,26.172144,2.918005,9.648587,,36.553936,,,21.702406,,1.1184084,,0.044515226,,,36.59443,0.56819665,,,,,7.6847267,,35.714027,,,32.572983,0.27089933,,43.89954,24.871935,7.0579305,,15.735862,,,7.144149,44.847687,3.308371e-07,5.004779,,9.688279,0.026111066,5.865946,1.114921,,,,,5.7296047,68.36809,0.0035375205,24.85102,48.503044,4.020043,,3.718744,,,,,0.021772277,,,24.654678,3.5772696,,19.567537,3.5750992,,22.484024,22.812986,,,8.658129,7.0916443,,0.00033582686,,0.37666026,,,0.0047409977,27.794912,,25.699888,,,20.696968,9.242189,,4.5357924,,
1978,,,,,,,,22.814775,42.19312,,3.6155806,38.240925,,26.655527,,,61.44714,29.885641,,,,0.000121936726,,22.703648,,,4.691349,,31.45392,50.297348,2.6177495,,18.999817,18.456179,1.3933807e-12,,0.71546197,,,0.6803647,,,26.655394,,47.561268,,26.495089,30.258057,1.165415,5.0481334,0.049513932,3.0262752,15.935042,,10.660765,31.450947,20.978226,30.812971,,30.434364,25.167068,,0.022701344,,6.0234165,,,3.5255377,24.220669,3.8481913,,,3.2202797,,2.3195364,2.7967958,4.0485525,8.228765,21.701563,0.4170569,128.79237,0.9504259,0.012074096,16.000767,0.56814593,18.59048,69.03795,,2.250271,,,,,15.93995,33.435097,,,,26.80296,29.019024,3.2722974,10.949562,,37.685158,,,23.811018,,1.1914232,,0.05228638,,,38.317116,0.53385085,,,,,8.341397,,37.449753,,,35.860638,0.32970953,,45.704697,26.9019,7.576412,,17.617338,,,7.5827065,46.731525,5.2222236e-07,5.3718557,,10.2502,0.028226394,7.1000686,1.2337743,,,,,6.489954,67.28541,0.0042178,25.70084,50.866375,4.27182,,4.212412,,,,,0.023693359,,,27.11898,3.8819675,,21.873228,3.7470315,,22.583576,24.620708,,,9.487956,7.819005,,0.0005436938,,0.4014257,,,0.0068530333,29.915932,,27.866268,,,22.02443,9.432455,,5.04088,,
1979,,,,,,,,24.89594,43.75739,,4.9367414,39.949944,,30.652115,,,62.80266,32.60266,,,,0.0001459823,,25.693682,,,5.2419367,,34.33028,52.132015,3.4917955,,22.104836,19.670708,2.8014095e-12,,0.88813215,,,0.74287945,,,29.177982,,49.484467,82.38569,,33.166176,1.2723279,5.6210256,0.054523353,3.3260083,18.430508,,12.369924,33.799377,22.615946,34.093544,,32.854717,28.544811,,0.035060246,,6.3925896,,,4.19871,29.27864,4.284706,,,3.6110723,,2.6232548,3.0478477,4.7057447,8.745175,24.586887,0.46079463,,1.3728375,0.021529322,18.368652,0.73335856,21.238972,71.59363,,2.4298282,,,,31.65461,18.860706,35.79227,,,,25.18432,31.743921,3.6234777,12.70188,,39.39852,,,25.794802,,1.3588848,,0.061797924,,,41.05568,0.56413245,,,,,9.548095,,38.81834,,,38.466946,0.36831763,,47.623974,28.115103,7.8465457,,20.030844,,,8.209572,50.46482,8.705156e-07,6.313721,,10.841185,0.030209513,8.654928,1.581218,,31.152534,,,7.507146,68.013145,0.005531158,28.181833,52.939926,4.6159153,,4.8045096,,,,,0.02721,,,29.0742,4.520688,,24.603045,3.9175992,,24.28621,27.05751,,,10.0060005,8.970132,,0.00088917365,,0.45340478,,,0.011433895,33.28281,,32.21577,,,22.942709,10.481301,,5.7109976,,
