Date,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKL,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1990,1.6808,2.6377,9.59924,10.84329,17.99496,12.76571,10.92192,61.03016,11.53399,12.83769,9.9452,10.39474,0.7475,13.27495,1.73895,0.51412,0.29506,12.91381,16.38288,17.95087,11.94343,18.01655,16.21896,12.4245,7.66047,7.74046,14.9851,7.45116,1.5414,4.97554,1.24565,13.99919,10.11202,12.45686,1.14259,1.87735,2.74489,1.07501,2.32353,45.2499,6.38478,2.79517,2.8115,10.40558,6.67457,14.68137,21.77584,15.34957,1.96978,10.70879,8.57632,7.47462,8.58711,8.3562,17.74483,0.57668,15.80734,14.89925,0.29341,14.89805,17.19851,11.2928,30.95696,5.09835,12.41563,13.95921,2.4552,1.06631,1.31681,1.65396,5.05868,16.71863,10.49496,12.12672,6.73066,8.22125,7.63295,13.03772,2.96923,14.59637,1.38628,0.70378,13.2531,9.64488,17.20692,9.84273,14.52681,13.69258,9.55347,19.05214,1.96108,10.91666,1.70352,8.30548,0.44342,30.04481,18.14223,1.42997,27.473,1.20548,12.7061,2.00393,15.7175,9.56834,1.05747,6.86283,21.40518,13.68727,16.72149,7.19531,18.9295,0.50693,3.04004,12.49793,31.04891,14.36875,1.29524,23.90162,1.77778,9.35534,6.10269,1.43104,4.09231,7.75462,0.96054,4.8206,4.85581,0.78898,2.10325,10.7535,47.53062,8.72379,8.83295,0.43868,67.86672,13.19903,13.42744,6.06089,2.74578,10.00141,7.33074,1.59814,32.08694,11.56852,14.7116,17.35041,1.99559,12.96362,10.34248,16.59202,33.22435,17.95153,9.03866,17.93044,0.47726,18.54426,3.39456,1.88067,3.85805,11.73779,1.57896,10.73703,2.66304,14.49553,1.43751,2.74057,9.13498,13.29247,12.29815,9.52811,8.06393,11.84816,14.72971,0.79429,1.2424,3.20498,6.09982,52.18083,7.02572,0.25821,43.84048,14.1846,10.51859,16.18154,46.24206,1.69655,0.86354,18.38581,13.0206,18.52077,6.56834,11.3252,12.12277,0.1951,12.67762,33.55734,3.00115,14.05956,1.60911,4.64224
1991,1.81298,2.80296,9.7939,11.04727,18.6044,13.25297,11.256,62.07646,12.07659,13.50583,10.16396,10.72346,0.78924,13.49402,1.88114,0.55861,0.32275,13.08055,17.1265,18.84488,12.1686,18.15561,16.91468,13.01228,7.99544,8.05763,15.57498,7.95408,1.65595,5.25088,1.34356,14.67843,10.21839,13.14687,1.21414,2.01272,2.95275,1.14176,2.47905,46.28131,6.76272,2.94949,2.99606,10.96762,6.96792,14.92071,21.63266,15.77386,2.06819,11.18981,8.8285,7.92599,8.8655,8.68273,18.4366,0.60914,16.08184,15.124,0.30822,15.19519,17.58551,11.39721,31.40442,5.36616,13.08471,14.43025,2.65534,1.1488,1.42545,1.77493,5.36666,16.97194,10.98517,12.64003,7.09609,8.63192,8.05429,13.37363,3.12368,14.99793,1.46341,0.7688,13.7983,9.96459,17.6865,10.26226,14.80499,13.68054,10.0539,19.49721,2.01254,11.13437,1.80815,8.51588,0.475,31.07809,18.94597,1.50138,28.51879,1.27335,13.20525,2.16518,16.25734,10.10675,1.14564,7.07625,21.32227,13.99809,16.89954,7.44303,19.10543,0.53488,3.22333,13.16942,31.56863,14.71847,1.40593,24.19599,1.87521,9.57374,6.29467,1.50448,4.3749,8.21183,1.01536,5.16167,5.11875,0.85388,2.25477,11.25209,48.29406,9.00864,9.10546,0.47856,68.2431,13.94298,13.68455,6.23426,2.93733,10.52737,7.60934,1.73341,32.6987,11.79654,14.94409,18.07439,2.10987,13.16835,10.78242,17.12134,33.90286,18.69161,9.18237,18.08535,0.50292,19.1241,3.57121,2.02287,3.91188,11.93612,1.70053,11.27159,2.80206,14.68699,1.51012,2.93967,9.58545,13.4768,12.58006,9.82325,8.40515,12.37069,15.13346,0.85704,1.34369,3.41951,6.27232,53.29526,7.23387,0.27539,44.66343,14.7064,10.86652,16.69131,47.22941,1.79471,0.90952,18.50243,13.49026,19.34637,6.80027,11.85933,12.71235,0.19843,12.87004,34.55271,3.1055,14.64032,1.68404,4.67664
1992,1.95725,2.97692,10.00577,11.25323,19.25761,13.75238,11.66532,63.04672,12.63833,14.19788,10.40411,11.06957,0.83204,13.73231,2.03511,0.60769,0.35308,13.25758,17.82894,19.78855,12.69325,18.30894,17.60507,13.62026,8.34771,8.38816,16.1908,8.48648,1.77784,5.53709,1.4486,15.37179,10.3447,13.86638,1.29383,2.15742,3.1765,1.21456,2.64086,47.244,7.15941,3.11571,3.19158,11.54763,7.28328,15.19171,21.50102,16.22441,2.17311,11.6956,9.09095,8.40796,9.15763,9.02639,19.15255,0.64447,16.36735,15.4283,0.32445,15.51195,17.97118,11.5212,31.95392,5.64611,13.78891,14.9163,2.86778,1.23909,1.54736,1.90545,5.68937,17.25924,11.48972,13.18267,7.47942,9.05949,8.4929,13.75274,3.28789,15.41428,1.54651,0.83924,14.35898,10.32128,18.18734,10.69317,15.10606,13.71468,10.58627,19.971,2.06699,11.34914,1.92168,8.7311,0.508,32.05937,19.77359,1.57866,29.32646,1.3459,13.71076,2.33179,16.81254,10.67943,1.24125,7.29547,21.26723,14.32694,17.10468,7.70226,19.28532,0.56492,3.41827,13.8659,32.06398,15.04609,1.52664,24.50946,1.97776,9.80149,6.49978,1.58343,4.66873,8.67367,1.07455,5.52276,5.39992,0.92437,2.41754,11.76619,49.05647,9.32026,9.40117,0.52221,68.49119,14.71837,13.97829,6.4234,3.14335,11.07998,7.90237,1.87461,33.28862,12.01045,15.1868,18.82184,2.23229,13.39672,11.24366,17.6618,34.55721,19.4598,9.36927,18.25076,0.53019,19.71511,3.75666,2.17239,3.98091,12.14014,1.8314,11.82048,2.94439,14.8773,1.5879,3.15395,10.06699,13.6653,12.87993,10.13789,8.76621,12.93413,15.54871,0.92513,1.45402,3.6506,6.44695,53.98236,7.45466,0.29476,45.47893,15.23038,11.22752,17.19839,48.18367,1.89918,0.95958,18.6279,13.97314,20.20154,7.04257,12.38731,13.31388,0.20246,13.06257,35.5205,3.21563,15.2914,1.76382,4.72266
1993,2.11433,3.16063,10.2383,11.49404,19.95825,14.26037,12.13739,63.93877,13.24126,14.91294,10.67204,11.43175,0.88748,13.99318,2.19273,0.66133,0.38635,13.44815,18.51993,20.77425,13.41658,18.47284,18.29741,14.25546,8.7184,8.73086,16.83104,9.04042,1.90703,5.83445,1.56085,16.07662,10.50653,14.61105,1.38238,2.31269,3.41696,1.29178,2.80815,48.18727,7.57336,3.29476,3.39937,12.1448,7.62377,15.50616,21.36985,16.7023,2.28458,12.23591,9.36231,8.92036,9.46155,9.38815,19.8896,0.68049,16.68985,15.76797,0.34292,15.84516,18.35654,11.66484,32.60187,5.93927,14.52718,15.4205,3.0916,1.33764,1.68852,2.04626,6.0274,17.58515,12.01672,13.75307,7.87998,9.50626,8.95108,14.08959,3.46239,15.85358,1.63616,0.91533,14.9508,10.71662,18.70984,11.15226,15.43343,13.80269,11.15269,20.48693,2.12499,11.56538,2.04483,8.93849,0.54318,32.9962,20.6383,1.66011,29.67852,1.42334,14.23031,2.51234,17.37964,11.28639,1.34459,7.52409,21.2435,14.68133,17.33733,7.97279,19.47695,0.59751,3.62567,14.58617,32.53048,15.32917,1.65798,24.87135,2.08539,10.04047,6.71996,1.66889,4.98298,9.13735,1.13865,5.9044,5.70015,1.00072,2.59101,12.29773,49.91635,9.65403,9.72542,0.5705,68.5011,15.52557,14.30912,6.62225,3.36084,11.65968,8.2084,2.02116,33.89411,12.21756,15.43861,19.59688,2.36622,13.65645,11.72429,18.21399,35.18696,20.26563,9.60122,18.40713,0.55949,20.22284,3.95943,2.32975,4.05924,12.3533,1.97213,12.38758,3.09542,15.06215,1.67135,3.38285,10.58088,13.86234,13.18345,10.47519,9.16682,13.5203,15.97925,1.00394,1.57418,3.89974,6.62679,54.57052,7.68887,0.31535,46.2693,15.7573,11.60207,17.73899,49.06267,2.00749,1.0145,18.76734,14.47018,21.08328,7.30161,12.9442,13.92503,0.20745,13.25469,36.47111,3.33239,15.99732,1.84904,4.78999
1994,2.28502,3.35392,10.49506,11.77516,20.7094,14.78015,12.60284,64.74857,13.88682,15.64554,10.97207,11.77798,0.9353,14.27798,2.36931,0.72032,0.42339,13.64758,19.20744,21.79989,13.96084,18.66213,19.02257,14.92281,9.10934,9.08924,17.50235,9.6118,2.04532,6.145,1.68135,16.78733,10.68977,15.38168,1.47528,2.48048,3.67518,1.36772,2.98463,49.13293,8.00311,3.48616,3.62186,12.75719,7.99694,15.85877,21.24293,17.21271,2.40331,12.81665,9.64552,9.4612,9.77856,9.76825,20.64729,0.71984,17.04697,16.112,0.36311,16.20302,18.7389,11.83065,33.17688,6.24709,15.28979,15.94842,3.3312,1.44553,1.85028,2.19779,6.37192,17.95195,12.56759,14.34935,8.29938,9.98129,9.43022,14.3992,3.64881,16.30975,1.73293,0.99774,15.56157,11.11793,19.26057,11.63488,15.78936,13.93734,11.75652,21.0649,2.18535,11.78598,2.17825,9.17294,0.58388,33.8802,21.54497,1.74483,29.78109,1.50564,14.76939,2.70878,17.96399,11.92574,1.45655,7.76252,21.2564,15.06651,17.59996,8.25753,19.67197,0.63322,3.84456,15.32356,32.97719,15.62715,1.80137,25.27242,2.19857,10.2889,6.95729,1.76149,5.328,9.60245,1.20763,6.3068,6.0177,1.08331,2.77609,12.84852,50.6918,10.01328,10.08473,0.62429,68.45427,16.36272,14.68055,6.83135,3.58891,12.26538,8.52867,2.17223,34.53823,12.42151,15.7018,20.40893,2.50955,13.94908,12.22473,18.78303,35.79201,21.11822,9.85745,18.58437,0.59364,20.62388,4.17479,2.49562,4.14457,12.57537,2.12357,12.97486,3.25766,15.26189,1.75963,3.62735,11.12923,14.06662,13.48625,10.83366,9.66158,14.1114,16.43136,1.09037,1.70548,4.16393,6.82321,55.16511,7.93919,0.3372,47.02489,16.29498,11.99169,18.30548,49.88877,2.12073,1.07535,18.94782,14.98077,21.99385,7.58076,13.53126,14.54287,0.21346,13.4463,37.42757,3.45721,16.71327,1.94012,4.86349
1995,2.47063,3.55431,10.77664,12.10096,21.50227,15.31589,13.05563,65.48675,14.57403,16.38653,11.29134,12.10987,0.97607,14.58088,2.57394,0.78576,0.46462,13.86387,19.90168,22.86607,14.20216,18.88207,19.79699,15.6232,9.52149,9.46464,18.21159,10.20081,2.19313,6.47009,1.81265,17.49368,10.89082,16.1753,1.57245,2.6632,3.95448,1.45352,3.17159,50.08835,8.45004,3.69297,3.86053,13.38519,8.4046,16.2369,21.14232,17.74177,2.53197,13.43635,9.94201,10.03049,10.11147,10.16703,21.42934,0.75727,17.44201,16.4813,0.38557,16.57351,19.11116,12.01479,33.64918,6.57135,16.0677,16.50589,3.58838,1.56443,2.03026,2.361,6.72169,18.35939,13.13909,14.95927,8.7395,10.48677,9.93224,14.79768,3.84765,16.77821,1.8376,1.08718,16.1822,11.49783,19.83794,12.14381,16.18209,14.11337,12.40019,21.71857,2.24846,12.00773,2.32323,9.45852,0.62934,34.69669,22.4978,1.83246,30.28369,1.59314,15.33403,2.9227,18.57423,12.60121,1.57801,8.01266,21.31609,15.45779,17.89521,8.55625,19.8823,0.67278,4.0764,16.07836,33.40205,15.96074,1.95885,25.70376,2.31717,10.55077,7.21361,1.86275,5.70588,10.0707,1.27929,6.73116,6.35032,1.17348,2.97544,13.42223,51.38245,10.39585,10.47732,0.68382,68.33045,17.22433,15.07634,7.05322,3.83107,12.89894,8.86493,2.32776,35.15919,12.62442,15.98022,21.25236,2.66099,14.27569,12.74146,19.3717,36.35677,22.02197,10.14003,18.79733,0.63177,21.05964,4.40001,2.67315,4.232,12.8089,2.28737,13.5761,3.43237,15.47775,1.85524,3.88683,11.71513,14.29315,13.79167,11.2094,10.1647,14.71338,16.90512,1.18133,1.8503,4.4371,7.04077,55.69224,8.20871,0.36036,47.73098,16.8432,12.40798,18.87068,50.63477,2.24853,1.14445,19.15763,15.50723,22.92988,7.88805,14.14954,15.16595,0.22053,13.63924,38.3966,3.59249,17.43588,2.03958,4.92759
1996,2.67363,3.76282,11.08376,12.51485,22.1483,15.86693,13.49487,66.17302,15.29971,17.13992,11.62232,12.45764,1.03384,14.90155,2.79169,0.85899,0.51067,14.10628,20.60498,23.96929,14.10969,19.1309,20.63052,16.35007,9.9554,9.85783,18.95667,10.80928,2.35115,6.80759,1.95412,18.19664,11.11002,16.98858,1.67471,2.86259,4.25692,1.55814,3.36802,51.00853,8.91327,3.91738,4.11807,14.02747,8.84444,16.63573,21.09509,18.28074,2.67068,14.09255,10.25471,10.63329,10.44221,10.58356,22.23668,0.80169,17.87007,16.88227,0.41063,16.96074,19.47164,12.22041,34.07404,6.91432,16.8672,17.09137,3.86332,1.69602,2.23121,2.53782,7.08378,18.81657,13.73236,15.57903,9.20138,11.02326,10.45887,15.25823,4.05895,17.27644,1.95165,1.18455,16.82392,11.88038,20.44072,12.66309,16.60925,14.33834,13.086,22.44449,2.31442,12.23097,2.48119,9.77203,0.67838,35.4712,23.49116,1.92375,31.0109,1.68673,15.92124,3.15836,19.20904,13.31104,1.70975,8.27515,21.42749,15.86567,18.22933,8.87007,20.11196,0.71659,4.324,16.84885,33.8235,16.32014,2.13275,26.16818,2.44159,10.8282,7.49015,1.97405,6.11945,10.54228,1.35411,7.1805,6.69678,1.2725,3.19113,14.03764,52.15537,10.80128,10.89967,0.75007,68.16872,18.1139,15.47918,7.29031,4.08907,13.56055,9.21947,2.48766,35.6977,12.82854,16.29177,22.12077,2.82128,14.63556,13.27256,19.97538,36.88181,22.97617,10.4642,19.05142,0.66806,21.56834,4.639,2.86374,4.32192,13.05256,2.4642,14.19123,3.6205,15.7034,1.96049,4.16112,12.33191,14.55447,14.11068,11.60457,10.60309,15.3487,17.39781,1.28432,2.01026,4.71702,7.28084,56.24674,8.5033,0.38488,48.38595,17.39897,12.85067,19.45121,51.3146,2.3946,1.22117,19.40371,16.0495,23.8996,8.22446,14.79602,15.7907,0.22868,13.83374,39.38699,3.73926,18.16511,2.14825,4.98689
1997,2.8963,3.98193,11.41918,13.00573,22.6267,16.43372,13.95061,66.80394,16.05209,17.90616,11.96522,12.81744,1.09409,15.23971,3.02548,0.94106,0.56249,14.37419,21.32315,25.09621,14.09758,19.40371,21.51601,17.10035,10.40998,10.26889,19.7309,11.4404,2.52055,7.158,2.10454,18.89498,11.34319,17.81679,1.78347,3.08012,4.58378,1.6724,3.58309,51.89245,9.39114,4.16126,4.39761,14.68036,9.31126,17.04656,21.10722,18.82519,2.81592,14.7725,10.58054,11.26436,10.76643,11.01879,23.06541,0.86122,18.32126,17.31832,0.4385,17.35507,19.82348,12.43994,34.49882,7.2773,17.68397,17.70029,4.15547,1.84718,2.45737,2.7302,7.45964,19.31909,14.34674,16.21248,9.68174,11.58965,11.01013,15.72685,4.28064,17.8179,2.07647,1.29112,17.48975,12.26179,21.0764,13.19249,17.05998,14.60912,13.80656,23.22704,2.38416,12.45799,2.65445,10.1151,0.73223,36.19962,24.52512,2.01938,31.72691,1.78745,16.52598,3.41771,19.86438,14.0521,1.85334,8.56089,21.58983,16.2966,18.60281,9.205,20.36166,0.76525,4.5872,17.62958,34.24881,16.69159,2.32514,26.65745,2.57259,11.12424,7.79045,2.09933,6.55907,11.01805,1.43612,7.65653,7.05844,1.38155,3.42399,14.694,52.89751,11.22622,11.34677,0.82361,67.98461,19.0308,15.89476,7.54154,4.36622,14.24876,9.59211,2.6521,36.16851,13.03569,16.64089,23.00351,2.99416,15.02674,13.81712,20.59509,37.38911,23.84888,10.85657,19.33541,0.70862,22.1115,4.89192,3.06821,4.42171,13.30474,2.65468,14.82108,3.82314,15.94714,2.07499,4.45527,12.96968,14.8502,14.44975,12.01463,11.08315,15.93987,17.91105,1.40271,2.1869,5.00659,7.53294,56.76658,8.82012,0.411,49.04954,17.9582,13.31516,20.03706,51.93163,2.55219,1.30616,19.69027,16.6115,24.89049,8.58889,15.47291,16.41266,0.23838,14.03101,40.40459,3.89847,18.8563,2.26607,5.05841
1998,3.14014,4.21192,11.78599,13.51625,23.09177,17.01372,14.41419,67.38892,16.82582,18.67274,12.31429,13.19304,1.15318,15.59007,3.2777,1.03218,0.62078,14.67508,22.06561,26.23986,14.24815,19.69162,22.43382,17.86915,10.88442,10.69583,20.51906,12.09399,2.70179,7.5227,2.26456,19.57806,11.5797,18.65591,1.9025,3.32167,4.93674,1.79004,3.80728,52.76895,9.88307,4.42533,4.70032,15.34029,9.80005,17.46301,21.16844,19.36924,2.97278,15.46573,10.91174,11.9178,11.12044,11.46942,23.90793,0.92651,18.7946,17.77436,0.46965,17.74572,20.17579,12.66239,34.92753,7.6595,18.5021,18.3293,4.46466,2.0149,2.7116,2.94121,7.84862,19.86132,14.96567,16.85494,10.17872,12.18096,11.58325,16.23222,4.51103,18.40941,2.21334,1.40796,18.16758,12.64612,21.73842,13.72802,17.52309,14.91358,14.55966,24.04189,2.45909,12.68192,2.84366,10.48474,0.79179,36.87039,25.58192,2.12034,32.40765,1.89575,17.14759,3.70335,20.54132,14.81635,2.01015,8.87007,21.79641,16.73103,19.00349,9.56277,20.64228,0.81902,4.86544,18.41606,34.6689,17.0892,2.53723,27.17351,2.70977,11.44199,8.11831,2.23965,7.02391,11.49734,1.52702,8.15807,7.43205,1.50109,3.67419,15.37093,53.525,11.66006,11.81245,0.90489,67.82259,19.96471,16.32783,7.80503,4.6637,14.96012,9.98188,2.82007,36.65836,13.24469,17.02177,23.89543,3.17977,15.45189,14.37319,21.23331,37.88476,24.60812,11.32983,19.61742,0.75742,22.70388,5.16069,3.28581,4.53814,13.56534,2.8599,15.46544,4.04063,16.21783,2.19708,4.76761,13.62127,15.18019,14.79777,12.43182,11.59602,16.52391,18.44424,1.53301,2.3813,5.30202,7.79358,57.34087,9.15001,0.43879,49.75065,18.51617,13.80424,20.66073,52.50252,2.72035,1.40013,19.98845,17.19075,25.88677,8.98268,16.17654,17.02785,0.25001,14.22977,41.44009,4.07065,19.50534,2.39448,5.14619
1999,3.40621,4.45311,12.18261,14.0414,23.56388,17.60494,14.87743,67.9282,17.62364,19.42981,12.66333,13.60886,1.21524,15.94891,3.54808,1.13343,0.68597,15.00776,22.83855,27.39412,14.47466,19.9968,23.36879,18.65639,11.37813,11.13777,21.32405,12.77368,2.88492,7.90128,2.43342,20.23818,11.81413,19.49901,2.02855,3.59058,5.31524,1.91194,4.03121,53.65863,10.38713,4.72091,5.02475,16.00493,10.31011,17.88457,21.27255,19.91176,3.14942,16.16733,11.24337,12.59234,11.50779,11.93502,24.75694,0.99794,19.2772,18.24249,0.50425,18.14613,20.53942,12.88003,35.35659,8.06028,19.3057,18.98387,4.79501,2.19389,2.99387,3.17062,8.24618,20.44029,15.58458,17.50583,10.69145,12.79609,12.17798,16.77284,4.74908,19.04804,2.36373,1.53458,18.84356,13.04078,22.4225,14.25964,17.99717,15.24922,15.34547,24.86697,2.53857,12.92321,3.0485,10.8745,0.85354,37.47942,26.66553,2.22705,33.07014,2.01149,17.78152,4.0174,21.23662,15.61077,2.17947,9.19199,22.04253,17.15657,19.43161,9.94212,20.94281,0.8781,5.15693,19.19932,35.06487,17.47738,2.76931,27.71195,2.85326,11.77569,8.47379,2.39325,7.51674,11.97772,1.62725,8.68493,7.81487,1.63084,3.94179,16.06723,54.03967,12.09924,12.29745,0.99448,67.62789,20.90371,16.77984,8.07843,4.98367,15.69188,10.38874,2.99126,37.15765,13.45427,17.43342,24.7959,3.37376,15.90212,14.93867,21.88475,38.34906,25.38603,11.86352,19.91446,0.81493,23.36841,5.44252,3.51523,4.67473,13.83463,3.08024,16.11982,4.27301,16.51427,2.32831,5.09548,14.2827,15.54116,15.14318,12.84817,12.11343,17.17844,18.99325,1.67467,2.59534,5.60195,8.06611,57.94308,9.49337,0.46833,50.46656,19.06967,14.31528,21.30304,53.0178,2.9036,1.50226,20.30329,17.78355,26.89264,9.40821,16.90864,17.62737,0.26377,14.4281,42.48695,4.25437,20.13356,2.53458,5.25458
