Date,ATA
1979,3.141
1980,2.818
1981,2.873
1982,3.129
1983,3.07
1984,2.677
1985,2.836
1986,3.193
1987,3.254
1988,2.886
1989,2.978
1990,3.036
1991,3.161
1992,2.837
1993,2.482
1994,3.197
1995,3.561
1996,2.985
1997,2.49
1998,2.989
1999,2.966
2000,2.907
2001,3.65
2002,2.96
2003,3.789
2004,3.584
2005,2.97
2006,2.651
2007,2.905
2008,3.895
2009,2.991
2010,3.106
2011,2.519
2012,3.553
2013,3.836
2014,3.843
2015,3.799
2016,2.79
2017,2.288
2018,2.326
2019,2.655
2020,2.92
2021,2.892
2022,2.213
2023,1.978
2024,2.187
2025,2.218
