Date,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GDR,OWID_KOS,OWID_USS,OWID_WRL,OWID_YAR,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SRB,SSD,SVK,SVN,SWE,SWZ,SYC,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
1959,,,,,1871832400.0,,4850184700.0,1612565900.0,,,4448205300.0,,,,,,,,,,2038981800.0,,,,12645912000.0,4501187000.0,182928420.0,,,,,,340533100.0,,0.0,,,31099509000.0,,2204264200.0,,,1070843970.0,,3421254700.0,,,816150600.0,,30882548000.0,,49594405000.0,,52578024.0,,,,,1573617400.0,164698660.0,,48046816.0,,,,,3252817000.0,291906620.0,,64331.188,,1135835800.0,10385528000.0,,,7344515600.0,,,,,811788740.0,,,,,,44149870.0,,,74995656.0,,268584830.0,,,715547000.0,,,,472026370.0,,,,,,,228677810.0,,,,,6300631000.0,1646764400.0,,1183640600.0,,3733757700.0,,,,,,564213000.0,,1343062000.0,618317300.0,,,1178021400.0,,,,,,,653423900.0,,,11531796.0,84652300.0,,,,,,,,,,490848800.0,,,,,,1031371970.0,,,,,,499769700000.0,,272333.94,,,256719870.0,,
1960,,,,,2803407000.0,,4771764700.0,1511875000.0,,,4547235000.0,,6305762.0,,,,,,,,1871439900.0,,,,12366102000.0,4215731000.0,253666820.0,,,,,,374592640.0,,0.0,,,33484712000.0,,2457337000.0,253987200.0,,1436772100.0,,4106739200.0,,,858238140.0,,31699410000.0,,50619860000.0,,92609460.0,,,,,1671616000.0,153480740.0,,38492116.0,,,,,3284085800.0,310500200.0,271473020.0,73690.86,,1234534700.0,10906024000.0,,,7355486700.0,,43955716.0,,,787262200.0,,,,,,44477990.0,,,48824790.0,,267966460.0,,,806352800.0,,,,456131600.0,,,,,,,211057310.0,,,208875550.0,,7070024700.0,1567713700.0,,1213661000.0,,4104397800.0,666888800.0,,,,,587920060.0,,1403560000.0,614590100.0,,,1225538400.0,51345068.0,,,,,,734139000.0,,,9878258.0,83053416.0,,,,,3707418400.0,,,,,457348800.0,,,,,,1137281900.0,,,,,,487469350000.0,,273420.2,,,292903200.0,,
1961,,,,,3413318100.0,,4768223700.0,1451712400.0,,,4596950000.0,,6891846.5,,,,,,,55367292.0,1745697300.0,,,,12621976000.0,4910435000.0,299293540.0,,,,,,447522800.0,,0.0,,,35603096000.0,,2518332000.0,250493490.0,,1379811200.0,,4138532400.0,,,991687040.0,,32944148000.0,,50570863000.0,,115185850.0,,,,,1617036000.0,154334750.0,,37029604.0,,,,,3542934300.0,322830880.0,282514000.0,77176.945,,1469104300.0,11201096000.0,,,7149757000.0,,14841632.0,,,820827650.0,,,,,,45115950.0,,,53583640.0,,305605200.0,,,816259650.0,,,,436920600.0,,,,,,,175076640.0,,,237725010.0,,8130486000.0,1705210400.0,,1140331800.0,,4738424000.0,666292540.0,,,,,581921300.0,,1671277800.0,630395840.0,,,1964726400.0,44949316.0,,,,,,741469000.0,,,9341976.0,86459690.0,,,,,3890078700.0,,,,,395886660.0,,,,,75926696.0,1278718600.0,,,2227169.8,,,508088300000.0,,137604.16,,,466166880.0,,
1962,,,,,3306351400.0,,4969161700.0,1528231800.0,,,4892507000.0,,20200192.0,,,,,,,55049730.0,1858326400.0,,,,13109743000.0,5428354600.0,269221500.0,,75647944.0,,,,694926340.0,,0.0,,,45265867000.0,,3082695400.0,240226580.0,,1314228500.0,1358568400.0,5054441500.0,,,1391367000.0,,34047048000.0,,51220095000.0,,107344190.0,,,,,1644330800.0,149604590.0,,36629588.0,,,,,4869721000.0,327587400.0,290974660.0,82010.9,,1884195100.0,12388740000.0,,,7319542300.0,,10794706.0,,,952327740.0,,,,,,41237736.0,,,65001252.0,,324351520.0,,,926084540.0,,,,470470100.0,,,,,,,180268290.0,,,308564580.0,,8631486000.0,1883674600.0,,1111999600.0,,4863191600.0,1767822300.0,,,,,557755840.0,,1650658200.0,708152060.0,,,2233388500.0,51037930.0,,,,,,883584640.0,,,9694944.0,120924060.0,,,,,4183341800.0,,,,,517495300.0,,,,,57867844.0,1361923100.0,,,13453074.0,,,550543800000.0,,242373.08,,,753686400.0,,
1963,,,,,3370860800.0,,5587666000.0,1873686100.0,,,5043244500.0,,20615232.0,,,,,,,68338890.0,1823831400.0,,,,12523097000.0,5655570000.0,267857120.0,,68940024.0,,70327980.0,,793835600.0,,0.0,,,50817250000.0,,3092637400.0,227067000.0,,1159645400.0,1949317000.0,4761706000.0,,,1104885600.0,,33417343000.0,,52094810000.0,,114372240.0,,,,,1685877100.0,185099360.0,,35441824.0,,,,,7971872300.0,331226370.0,339518560.0,95335.18,,2251242500.0,13787586000.0,,,7956646400.0,,29703048.0,,,787248700.0,,,,,,35406292.0,,,61961804.0,,426790340.0,,,1039403900.0,,,,534700600.0,,,,,1798166.6,,242686740.0,,,373408030.0,,8815671000.0,1962059900.0,,1133300500.0,,4620591000.0,1821446300.0,,,,,602764600.0,,2281837000.0,799533250.0,,,2181490200.0,55618810.0,,,,,906158900.0,956222900.0,,,10432664.0,116859610.0,,,,,4460753000.0,,,,6758451.5,549669950.0,,,,,58091630.0,1399357800.0,,,48746584.0,,,543046500000.0,,288383.97,,,754920100.0,,
1964,,,,,2832440800.0,,6469867500.0,2357198300.0,,,5412293600.0,,20538988.0,,,,,,,,1702571400.0,,,,12665678000.0,6128735000.0,255975460.0,,95077060.0,,96799864.0,,757844500.0,,0.0,,,48727990000.0,,3205176600.0,242338380.0,,1349145000.0,2511592000.0,5441112000.0,,,1089448200.0,,34399580000.0,,53505880000.0,,109062056.0,,,,,1752258200.0,162682660.0,,51952704.0,,,,,7781672000.0,370413980.0,394969380.0,108271.59,,2300150300.0,14119578000.0,,,8735468000.0,,93892536.0,,,744511200.0,,,,,64077196.0,34361664.0,,,79940150.0,,383441440.0,,44720460.0,1088205800.0,,,,524266530.0,,,,,1838246.2,,339302050.0,,,442004350.0,,9614521000.0,1989667600.0,,1351500800.0,,4368567300.0,1880262900.0,,,,,679253060.0,,2572021500.0,734041800.0,,,2378006300.0,58480690.0,,,,,957228600.0,1368557300.0,,,10166541.0,107696420.0,,,,,4689773000.0,,,,19946880.0,564477950.0,,,,,70071170.0,1500815600.0,,,88984580.0,,,524941330000.0,,299644.06,,,1058026000.0,,
1965,,,,,2731861500.0,,7472212000.0,1950275800.0,,15800572.0,5239465000.0,,13551768.0,,,,,,,,2854612700.0,,,,11737388000.0,6177242600.0,305075900.0,,106850184.0,,157623820.0,,799118900.0,,0.0,,,48075810000.0,,3401379300.0,233643630.0,,1510801700.0,2512312000.0,5458567700.0,,358733500.0,1111152400.0,,34897027000.0,,53666062000.0,,92147920.0,,,,,1895420900.0,234512160.0,,53791060.0,,,,,7606394400.0,382485820.0,497460350.0,132577.78,,2406392800.0,14654282000.0,,,9374453000.0,,152592020.0,,,782208640.0,,,,,77975910.0,35602464.0,,,79384410.0,,334444830.0,,48617244.0,1043710200.0,,29504244.0,,487898100.0,,,,,1812019.6,,476048640.0,,,515407040.0,,9268463000.0,2305856300.0,,1345032800.0,,4347008500.0,1998877600.0,,,,,1096910800.0,,2435603700.0,711779900.0,,,2379411000.0,67002010.0,,,,,1371968900.0,1888776000.0,,,10365462.0,121435720.0,,,,,4971720700.0,,,,19585278.0,608963300.0,,,,,55004660.0,1572431500.0,,,155075490.0,,,527240430000.0,,337819.88,,,1083474300.0,,
1966,,,,,2825756000.0,,9093580000.0,2240349000.0,,16661375.0,5658888000.0,,14778206.0,,,,,,,,2582240300.0,,,,11592815000.0,6492285000.0,336182180.0,,105729870.0,,135199490.0,,822223200.0,,0.0,,,47187464000.0,,3347524600.0,215640370.0,,1397310700.0,2154954200.0,6561629700.0,,368095200.0,1092974100.0,,35948420000.0,,53379645000.0,,108287240.0,,,,,2057327100.0,239433630.0,,54962084.0,,,,,7162498000.0,363821060.0,639493800.0,135328.78,,2666968300.0,15725766000.0,,,10127335000.0,,191548530.0,,,1412598100.0,,,,,139609280.0,37649720.0,,,80093096.0,,363338720.0,,49883810.0,1095590300.0,,26947836.0,,382322400.0,,,,,1773611.6,,590979400.0,,,397048700.0,,9002383000.0,2292123000.0,,1527629000.0,,4668214300.0,2054401800.0,,,,,1279023100.0,,2445205200.0,793121700.0,,,2507106800.0,75777040.0,,,,,2283227400.0,1657372700.0,,,10072143.0,124927990.0,,,,,5017902000.0,,,,16668184.0,655349300.0,,,,,57664490.0,1575708800.0,,,208172420.0,,,623402900000.0,,348548.16,,,1173540200.0,,
1967,,,,,3145834200.0,,10697584000.0,2270251500.0,,17501490.0,5933448700.0,,14627006.0,,,,,,,,2484231700.0,,,,12325531000.0,6324319000.0,366358400.0,,114744190.0,,121647880.0,,843707900.0,,0.0,,,49087050000.0,,3344950000.0,204986450.0,,1486135300.0,2257400300.0,6167617000.0,,311151460.0,1069930560.0,,37813965000.0,14821254.0,54743850000.0,,,,,,,2649039000.0,264211760.0,,56320640.0,,,,,6692056600.0,370353470.0,813566600.0,130763.305,,4345940000.0,15447652000.0,,1008978240.0,10853391000.0,,230651250.0,,,1570474600.0,,,,,176807900.0,38665660.0,,,64999840.0,,379070560.0,,52837890.0,1089602800.0,,27477178.0,,366874800.0,,,,,1740907.5,,545249500.0,,,1776085900.0,,9977110000.0,2363897900.0,,1482236400.0,,5206068700.0,2338995500.0,,,,,1041915900.0,,4225549300.0,881759200.0,,,3076999000.0,82170070.0,,,,,2502583600.0,1550891000.0,,,11049537.0,126597970.0,,,,,4890995000.0,,,,18361652.0,752126140.0,,,,,61803616.0,1697670000.0,,77899060.0,237572300.0,,,715710100000.0,,394925.47,,,1303381800.0,,
1968,,,,,3802724600.0,,11497823000.0,2275131100.0,,17994158.0,6142792700.0,,15024071.0,,,,,,,86944056.0,2577600300.0,,,,11973111000.0,6024267000.0,373103870.0,,114032184.0,,125960440.0,,697305600.0,,0.0,,,43567337000.0,,3569695700.0,213498690.0,,1649040900.0,2929576700.0,8170835500.0,,290942340.0,1220520400.0,,37858760000.0,14483012.0,53964063000.0,,146396050.0,,,,,3093558300.0,249676640.0,,57324296.0,,,,,6930282000.0,380934850.0,1067382100.0,158992.39,,5507041000.0,15634561000.0,,1230872600.0,11580747000.0,,235241300.0,,,1850314900.0,,,,,211466580.0,40721580.0,,,57562252.0,,487679650.0,,56363292.0,1185891700.0,,28576268.0,,367320100.0,,,,,1621975.5,8838964.0,564773760.0,,,2744553000.0,,9862002000.0,2505749800.0,,1567045900.0,,5471151600.0,3112148000.0,,,,,1071196700.0,,2105908700.0,1023492500.0,,,3239263200.0,90794530.0,,,,,2481353500.0,1903829100.0,,,11632068.0,120597060.0,,,,,4896839700.0,,,,19505456.0,904361100.0,,,,82919720.0,69338800.0,1898007200.0,,74803110.0,291012350.0,,,738695640000.0,,393182.84,,,1369112000.0,,
