Date,AFG,AGO,ALB,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_EU27,OWID_HIC,OWID_LIC,OWID_LMC,OWID_UMC,OWID_WRL,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,WB_EAP,WB_ECA,WB_LAC,WB_MENAP,WB_NA,WB_SA,WB_SSA,YEM,ZAF,ZMB,ZWE
1972,,,,,,,,,,,,,,,,,,,,,,,45000000.0,,,,,,,,,,,,,,,,,,,,,,,914000000.0,,2200000000.0,,,,,,,3400000000.0,,,,,,345466670.0,,,,,4262720000.0,,,,,,,3374560000.0,,,,,,,1566200000.0,42671740000.0,,,,,,,,,,,,,,,,,,,37880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11480600000.0,,,,,,,11514000000.0,,,,,,,,,,,,,,,,4097800000.000001,,,,,,,,,,,,,,208640000.0,,1252000000.0,,,,4430593500.0,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,46500000.0,,,,,,,,,,,,,,,,,,,,,,,1011000000.0,,2300000000.0,,,,,,,3450000000.0,,,,,,368200000.0,,,,,4267080000.0,,,,,,,3571640000.0,,,,,,,1576800000.0,43207615000.0,,,,,,,,,,,,,,,,,,,39420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12164400000.0,,,,,,,12476000000.0,,,,,,,,,,,,,,,,4110200000.0,,,,,,,,,,,,,,212960000.0,,1338000000.0,,,,4595890000.0,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,48000000.0,,,,,,,,,,,,,,,,,,,,,,,1108000000.0,,2400000000.0,,,,,,,3500000000.0,,,,,,390933330.0,,,,,4271440000.0,,,,,,,3768720000.0,,,,,,,1587400000.0,43743484000.0,,,,,,,,,,,,,,,,,,,40960000.0,,,,,,,,,,,,,,,,360000000.0,,,,,,,,,,,,,,,,,,,,,,,12848200000.0,,,,,,,13438000000.0,,,,,,,,,,,,,,,,4122600000.000001,,,,,,,,,,,,,,217280000.0,,1424000000.0,,,,4761880000.0,,,,,,,,,,,,
1975,10700000000.0,,,,,,,,,,,,,,,,,,,,,,49500000.0,,,,,,2598000000.0,,,,,,,,,,,,155000000.0,,,,,1205000000.0,,2500000000.0,,48200000000.0,,36080000000.0,,,3550000000.0,,,,,,413666670.0,,,,,4275800000.000001,,,,,,,3965800000.0,,380000000000.0,,45000000000.0,40560000000.0,,1598000000.0,44279358000.0,,451000000.0,,,,,,,,,,751000000.0,,1200000000.0,,,,,42500000.0,,9000000000.0,,,,,,,,,,,,,,360000000.0,,,,,,,,,,,,,,,,,,153368000000.0,,,,,13532000000.0,,,,,,150000000.0,14400000000.0,,,,,,190000000.0,,,,,,,,,,4135000000.0,,,3340000000.0,,,,,,,,1070000000.0,,,221600000.0,,1510000000.0,,,,4927350000.0,,,,,,,,,,,,
1976,11984259000.0,,,,27600000000.0,,,,,,,,,,,,,,,,,,51000000.0,,,,,,2596200000.0,,,,,,,,,,,,159400000.0,,,,,1205000000.0,,2600000000.0,,48583332000.0,,36848000000.0,,,3580000000.0,,,,,,436400000.0,,,,,4426640000.0,,,,,,,4133640000.0,,391670000000.0,,46390890000.0,40607000000.0,,1608600000.0,44813230000.0,,467800000.0,,,,,,,,,,779526300.0,,1254000000.0,,,,,41940000.0,,9210000000.0,,,,,,,,,,,,,,373733340.0,,,,,,,,,,,,,,,,,,153507500000.0,,,,,13851800000.0,,,,,,157100000.0,15280000000.0,,,,,,258022500.0,,,,,,,,,,4129200000.0,,,3863777900.0,,,,,,,,1236000000.0,,,225920000.0,,1596000000.0,,,,5092820000.0,,,,,,,,,,,,
1977,13268517000.0,,,,27651543000.0,,,,,,,,,,,,,,,,,,52500000.0,,,,,,2594400000.0,,,,,,,,,,,,163800000.0,,,,,1205000000.0,,2700000000.0,,48966667000.0,,37616000000.0,,,3610000000.0,,,,,,459133330.0,,,,,4577480000.0,,,,,,,4301480000.0,,403340000000.0,,47781776000.0,40654000000.0,,1619200000.0,45347100000.0,,484600000.0,,,,,,,,,,807842100.0,,1308000000.0,,,,,41380000.0,,9420000000.0,,,,,,,,,,,,,,387466670.0,,,,,,,,,,,,,,,,,,153647000000.0,,,,,14171600000.0,,,,,,164200000.0,16160000000.0,,,,,,326045000.0,,,,,,,,,,4123400000.0,,,4387555600.0,,,,,,,,1402000000.0,,,230240000.0,,1682000000.0,,,,5258290000.0,,,,,,,,,,,,
1978,14552775000.0,,,,27703085000.0,,,,,,,,,,,,,,,,,,54000000.0,,,,,,2592600000.0,,,,,,,,,,,,168200000.0,,,,,1205000000.0,,2800000000.0,,49350000000.0,,38384000000.0,,,3640000000.0,,,,,,481866660.0,,,,,4728320000.0,,,,,,,4469320000.0,,415010000000.0,,49172670000.0,40701000000.0,,1629800000.0,45880970000.0,,501400000.0,,,,,,,,,,836578970.0,,1362000000.0,,,,,40820000.0,,9630000000.0,,,,,,,,,,,,,,401200000.0,,,,,,,,,,,,,,,,,,153786500000.0,,,,,14491400000.0,,,,,,171300000.0,17040000000.0,,,,,,394067500.0,,,,,,,,,,4117600000.000001,,,4911333600.0,,,,,,,,1568000000.0,,,234560000.0,,1768000000.0,,,,5423760000.0,,,,,,,,,,,,
1979,15837033000.0,,,,27754627000.0,,,,,,,,,,,,,,,,,,55500000.0,,,,,,2590800000.0,,,,,,,,,,,,172600000.0,,,,,1205000000.0,,2900000000.0,,49733334000.0,,39152000000.0,,,3670000000.0,,,,,,504600000.00000006,,,,,4879160000.0,,,,,,,4637160000.0,,426680000000.0,,50563557000.0,40748000000.0,,1638900000.0,46414845000.0,,518200000.0,,,,,,,,,,864684200.0,,1416000000.0,,,,,40260000.0,,9840000000.0,,,,,,,,,,,,,,414933320.0,,,,,,,,,,,,,,,,,,153926000000.0,,,,,14811200000.0,,,,,,178400000.0,17920000000.0,,,,,,462090000.0,,,,,,,,,,4111800000.0,,,5435111000.0,,,,,,,,1734000000.0,,,238880000.0,,1854000000.0,,,,5589230000.0,,,,,,,,,,,,
1980,17121292000.0,,,900000000.0,27806168000.0,,,,3340000000.0,,,9030500000.0,,,,14180000000.0,,,,,,,57000000.0,,,,,,2589000000.0,,443700000000.0,,,,,,,,,,177000000.0,,,,,1205000000.0,,3000000000.0,,50116665000.0,,39920000000.0,,,3700000000.0,,30964000000.0,,13480000000.0,,527333300.0,,,,,5030000000.0,,,,,,,4805000000.0,,438350000000.0,1070000000.0,51955276000.0,40795000000.0,108000000.0,1648000000.0,46948715000.0,,535000000.00000006,88200000000.0,,,,,,,,,893631600.0,,1470000000.0,,,,,39700000.0,,10050000000.0,,,,,55970000000.0,,,20000000.0,,,,,730000000.0,428666680.0,,,,,,,9198000000.0,2000000000.0,,1200000000.0,,,,,,,,154065500000.0,,,,,15131000000.0,,,,,,185500000.0,18800000000.0,,,,,,530112500.0,,,,,,,,,,4106000000.0,657000000.0,,5958889000.0,,,,,,,,1900000000.0,,,243200000.0,,1940000000.0,517600000000.0,,,5754700000.0,37860000000.0,,,,,,,,,,,
1981,18405550000.0,,,980533360.0,27857710000.0,,,,3387400000.0,,,8978540000.0,,,,14162000000.0,,,,,,,58500000.0,,,,,,2600400000.0,,452082500000.0,,,,,,,,,,181600000.0,,,,,1305000000.0,,3100000000.0,,50500000000.0,,40986000000.0,,,3760000000.0,,31747800000.0,,13084000000.0,,550066650.0,,,,,5121200000.0,,,,,,,5114100000.0,,450020000000.0,1077571400.0,53346333000.0,40840000000.0,108800000.0,1678900000.0,46376987000.0,,551800000.0,88479670000.0,,,,,,,,,921526300.0,,1799000000.0,,,,,45160000.0,,10240000000.0,,,,,56580044000.0,,,22400000.0,,,,,909615000.0,442400000.0,,,,,,,9228200000.0,2026243700.0,,1340000000.0,,,,,,,,154205000000.0,,,,,15387400000.0,,,,,,192600000.0,19140000000.0,,,,,,598135000.0,,,,,,,,,,3878800000.0,676250000.0,,6482666500.0,,,,,,,,1980000000.0,,,247520000.0,,2026000000.0,512350000000.0,,,5920170000.0,39342000000.0,,,,,,,,,,,
1982,19689808000.0,,,1061066600.0,27909252000.0,,,,3434800000.0,,,8926580000.0,,,,14144000000.0,,,,,,,60000000.0,,,,,,2611800000.0,,460465000000.0,,,,,,,,,,186200000.0,,,,,1405000000.0,,3200000000.0,,50883335000.0,,42052000000.0,,,3820000000.0,,32531600000.0,,12688000000.0,,572800000.0,,20000000.0,,,5212400000.0,,,,,,,5423200000.0,,461690000000.0,1085142900.0,54737390000.0,40885000000.0,109600000.0,1709800000.0,45805256000.0,,568600000.0,88759330000.0,,,,,,,,,950684200.0,,2128000000.0,,,,,50620000.0,,10430000000.0,,,,,57190086000.0,,,24800000.0,,,,,1089230000.0,456133340.0,,,,,,,9258400000.0,2052500000.0,,1480000000.0,,,,,,,,154344500000.0,,,,,15643800000.0,,,,,,199700000.0,19480000000.0,,,,,,666157500.0,,,,,,,,,,3651600000.0,695500000.0,,7006444500.0,,,,,,,,2060000000.0,,,251840000.0,,2112000000.0,507100000000.0,,,6085640000.0,40824000000.0,,,,,,,,,,,
