Date,AGO,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BHR,BLR,BOL,BRA,BTN,BWA,CAN,CHE,CHL,CHN,COL,CRI,CZE,DEU,DJI,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GHA,GRC,GTM,HRV,HUN,IDN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KEN,KOR,KWT,LAO,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MEX,MNG,MUS,MYS,NGA,NLD,NOR,NPL,NZL,OMN,OWID_WRL,PAK,PER,PHL,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SVK,SVN,SWE,THA,TKM,TUN,TUR,TWN,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZWE
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,124.0,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,19.0,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,16.0,,,,
1981,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,20.0,,,,
1982,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,20.0,,,,
1983,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,154.0,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,26.0,,,,
1984,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,163.0,,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,31.0,,,,
1985,,,,,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,165.0,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,30.0,,,,
1986,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,114.0,,,,,,,,1.0,,,,,,,,,11.0,,,,
1987,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,135.0,,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,10.0,,,,
1988,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,3.0,,,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,145.0,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,19.0,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,139.0,,,,,,,,,,,99.0,,,,,,,,3.0,,,,,,,,,25.0,,,,
1990,,,1.0,,,,,,,,,,,1.0,,,,,,6.0,,,,2.0,,,,,,,,,,2.0,5.0,,,,,,,2.0,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,170.0,1.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,44.0,,,,
1991,,,,,,,,,,,,,,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,,,1.0,,,,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,137.0,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,32.0,,,,
1992,,,,,2.0,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,1.0,,,,2.0,,,,,,,1.0,2.0,,,,1.0,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,78.0,,,,,,,,1.0,,,,,,,,,28.0,,,,
1993,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,1.0,,,,2.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,108.0,,,,,,,1.0,,,,59.0,,,,,,,,,1.0,,,,,,,,31.0,,,,
1994,,,,,1.0,,,,,,,,,1.0,,,,,,5.0,,,,3.0,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,4.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,123.0,,,,,,,,,,,64.0,,,,,,,,,1.0,,,1.0,,,,,35.0,,,,
1995,,,,,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,,,,,1.0,,,,3.0,,,,,,,,2.0,,,1.0,,,4.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,105.0,,,,,,,,,,,36.0,,,,,,,,1.0,,,,,,,1.0,,40.0,,,,
1996,,,3.0,,,,,,,,,,,,,,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,1.0,2.0,,3.0,,,1.0,,,,,1.0,,,,,1.0,,,2.0,,,,,,,100.0,,,,,,,,,,,28.0,,,,,,,,,,,,1.0,,,,,41.0,,,,
1997,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,2.0,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,152.0,,,1.0,,,,,,,,28.0,,,,,,,,1.0,1.0,,,,,,,,88.0,,,,
1998,,,1.0,,1.0,,,,,,,,,2.0,,,,,1.0,10.0,,,,3.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,1.0,,,3.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,157.0,,,,,,,,,,,27.0,,,,1.0,,,,2.0,1.0,,,,,,,,91.0,,,,
1999,,,,,,,,,,,,,,4.0,,,1.0,,,10.0,,,,2.0,,1.0,,,,,,,,2.0,2.0,,,,,,1.0,2.0,,,,1.0,,1.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,129.0,,,,,,,,,,,15.0,,,,,,,,,,,,,1.0,,,,80.0,,,1.0,
2000,,1.0,2.0,,,,,,,,,,,1.0,,,1.0,,,6.0,,,,3.0,,,,,1.0,1.0,,,,,4.0,,,,,,1.0,1.0,,,1.0,3.0,,3.0,,,,,,,,2.0,,,,,,,,1.0,,,,,,,121.0,,,,,,,,,,,23.0,,2.0,,,,,,2.0,,,,,,,,,56.0,,,,
2001,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,1.0,,4.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,86.0,1.0,,,,,,,,,,30.0,,,,,,,,1.0,,,,1.0,,,,,34.0,,,,
2002,,,2.0,,1.0,,,,,,,,,,,,2.0,,,7.0,,,,5.0,,,1.0,,,1.0,,,,3.0,,,,,,,,2.0,,,1.0,1.0,,10.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,96.0,,,,,,,,,,,19.0,,1.0,,,,,,,,,,,,,,,33.0,,,,
2003,,1.0,,,1.0,,,,,,,,,,,,3.0,,,9.0,,,1.0,,,2.0,,,,,,,,,1.0,,1.0,,,,,4.0,,,1.0,,,7.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,88.0,,,,,,,,,,,22.0,,,,,,,,,,,,1.0,,,,,28.0,,,,
2004,,,,,,,,,,,,,,2.0,,,1.0,,,10.0,,,,,,,,,,1.0,,,,7.0,,,,,,,,1.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,19.0,,3.0,,,,,,,,,,,1.0,,2.0,,21.0,,,,
2005,,,,,,,,,,,,,,,,,1.0,,,7.0,,,,1.0,,,,,,,,,,1.0,3.0,,,,,,1.0,3.0,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,72.0,,,,,,,,,,,19.0,,,,,,,,,1.0,,,,,,,,21.0,,,,
