Date,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BIH,BLR,BRA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GRC,HKG,HRV,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JPN,KAZ,KEN,KHM,KOR,LAO,LBN,LBR,LBY,LTU,LUX,LVA,MAR,MEX,MKD,MLI,MLT,MNG,MRT,MWI,MYS,NER,NGA,NLD,NOR,NZL,OWID_KOS,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLE,SOM,SRB,SSD,SVK,SVN,SWE,SYR,TCD,THA,TON,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,VUT,ZAF
2015,93.0,,,97.0,75.0,92.0,87.0,69.0,90.0,,,93.0,76.0,70.0,,94.0,85.0,,,87.0,,,89.0,93.0,,88.0,91.0,88.0,88.0,96.0,,92.0,,98.0,94.0,84.0,78.0,,87.0,88.0,90.0,81.0,81.0,,,91.0,87.0,90.0,88.0,,91.0,,77.0,74.0,,,,92.0,,90.0,,,,,78.0,89.0,85.0,82.0,,,92.0,,,,,86.0,85.0,,,89.0,87.0,93.0,90.0,98.0,89.0,84.0,95.0,86.0,,79.0,73.0,96.0,,,,,,,76.0,,,76.0,92.0,,,92.0,,93.0,89.0,,,,77.0,,86.0,,95.0,,86.0
2016,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,96.0,,,95.0,95.0,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,
2019,88.97912,71.70191,,95.42961,77.242744,,85.74338,58.4,,,,,81.4234,76.6,,,,,,,,,,91.73194,,86.98699,87.98768,,,94.7099,,91.859184,,,97.6489,,81.770836,,87.63819,,,,80.68834,,,85.7696,93.22034,90.20771,,93.2,,,89.63731,80.31223,71.75,,,91.46667,,,,,,,,,88.0,75.729774,,,,,,79.08416,,89.9,,,,84.50148,81.0,,91.5,91.4,,85.72835,,,,91.01796,71.86667,,,,,,,,82.178215,,,,,95.62682,,98.0,,,,,,,,,91.749504,,97.20559,,
2020,,,,92.0,,,88.0,,86.0,,86.0,,85.0,,,88.0,,,,,,,70.350365,,86.659996,90.0,87.0,96.0,,83.0,,92.0,89.0,89.0,95.0,,83.0,70.0,87.5,,,90.0,,88.939995,89.0,,91.0,89.0,,,,,86.0,,,78.0,,88.0,,91.0,,,91.0,92.0,76.0,78.0,,,,86.0,,,93.0,,89.0,88.989655,84.0,,,,73.0,,84.0,,,90.0,93.0,,,85.0,,91.0,75.0,69.0,,,,,,,88.0,86.0,92.0,,,,,86.0,,,,83.0,,,79.76899,,,,75.0
2021,,,,,,,,,,,82.0,,,,,,,,,97.0,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,75.0,,73.50023,86.0,73.0,92.0,,,77.0,,,,,,,,,78.0,,,80.0,,,,,,,,,,,39.0,,,,,,,,80.0,,,71.0,,77.0,,,,,,,,,92.0,57.0,,,,,,,,,95.0,79.0,
2022,,,,90.0,,88.0,80.5,,78.799995,63.0,91.0,,64.5,,53.0,88.0,84.0,,,,76.48411,72.4879,65.144905,,84.06375,74.700005,87.012985,89.310684,,,,90.8,80.4,,89.2,81.0,81.518486,,,,70.98891,82.0,,73.5,80.5,84.0,97.0,89.9,,,,,89.6,74.0,,84.48715,96.0,62.0,91.0,,76.0,66.0,76.8,91.799995,64.23576,,93.0,,88.04327,78.799995,83.0,,,71.0,79.372986,82.4946,75.899994,,83.0,,66.0,,88.0,86.0,54.0,82.399994,93.5,,,81.899994,64.0,,79.0455,71.6052,,72.0,88.0,,,73.0,65.9,71.1,87.7,74.0,76.0,,91.99999,,76.0,,,83.056114,,88.0,77.0,90.0,99.0,69.0,73.437935
2023,,,79.0,80.0,66.0,80.0,73.0,,73.0,70.0,88.0,,53.0,64.0,62.0,83.0,77.0,70.0,73.0,,84.42909,53.0,79.0,73.0,,,74.0,79.0,,,82.0,80.0,70.0,96.0,80.0,,70.00995,,72.0,69.0,78.80465,71.0,71.0,61.0,55.50275,77.0,90.0,76.0,,80.0,,70.0,71.50746,62.0,65.0,83.00139,,68.0,,,77.0,82.0,59.0,,45.0,,89.0,76.0,82.11376,,,,,75.0,92.71945,87.507866,72.0,83.0,78.0,,80.0,,,83.0,,70.0,86.0,,85.0,65.0,68.0,84.0,87.0,63.017254,,,83.0,90.0,,73.0,57.0,55.0,79.0,,86.0,84.0,,47.459824,68.0,76.0,72.0,83.0,64.0,,76.0,,100.0,,72.0
2024,,,,84.0,,,,,,84.0,,,,,,83.0,,,,,91.0,,,84.0,,,,,,,,,,,,,,,,,83.0,,,,,81.0,,,,,,,,,,85.0,,,,,,71.0,,,,,88.0,,93.0,,,,,87.0,96.0,88.0,,,,,,,,95.0,,,,,,,,,84.0,89.39235,89.0,,,96.0,,,,,,,84.0,89.0,,66.0,,,93.0,,,,,,95.0,,79.0
2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
