Date,AFG,AGO,ALB,ARG,ARM,AUS,AUT,AZE,BDI,BGD,BGR,BIH,BOL,BRA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CRI,DEU,DZA,ECU,ESP,ETH,FRA,GBR,GEO,GIN,GTM,GUF,HKG,HND,HTI,IDN,IND,IRN,ISL,ISR,ITA,JAM,JPN,KAZ,KEN,KGZ,KOR,LCA,LKA,MAR,MEX,MMR,MNG,MOZ,MWI,MYS,NGA,NIC,NOR,NPL,NZL,OWID_CZS,OWID_USS,OWID_WRL,PAK,PER,PHL,PNG,PRI,PRT,PYF,REU,ROU,RUS,RWA,SLE,SLV,SWE,SYR,TCD,THA,TJK,TTO,TUR,TWN,TZA,UGA,USA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917.0,,,,,,116.0,,,,,,,,,,,,,,,,,2033.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,,,,45.0,,,,,,,11.0,,,,26.0,90.0,26.0,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,50.0,,,,140.0,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,436.0,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,20.0,,,,,154.0,,,,,,,,,,,,,,,22.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,114.0,,,,,,,,,,,43.0,,20.0,,,,,,,,,,,,,,,,,,,,21.0,,,,228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,100.0,,,,,,,,,,,,,,31.0,,,,,,,,200.0,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051.0,,600.0,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,100.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,105.0,,,,755.0,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,216.0,,,,25.0,,,,,,,,,,2800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3541.0,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,121.0,,,,,,,,,390.0,,,,,,,,,,,,,,,,,,,12.0,,,,17.0,,,,,,27.0,,,,,,,,,,,,,14.0,13.0,904.0,,310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,,,,,,15.0,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,30.0,,,,,,,,,,,,,,,,,125.0,,,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,150.0,,,,315.0,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,
1977,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,0.0,,,23.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,338.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,,,,,,,10.0,,,,,,,,,,,,40.0,,,,,,,,,,,
1981,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,0.0,,,,,,,40.0,,,,0.0,,,,,,,,,,,,,,,,,421.0,,70.0,200.0,,26.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
