Date,AFG,AGO,ALB,ARE,ARG,ARM,ASM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DOM,DZA,ECU,EGY,ERI,ESP,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GFR,OWID_SRM,OWID_USS,OWID_WRL,OWID_YAR,OWID_YGS,OWID_YPR,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1965,,,,,,,,,,,,,,,,,,,,,40.0,22.0,,,,,,,600.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,55.0,,8.0,142.0,,,,,,,323.0,,,,,,,,,,,,75.0,,,,27.0,,,,34.0,,,,,,,6.0,,,,,,,,,,,,,,1401.0,,3.0,,,,60.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,,,,,62.0,,,,,,,,,,39.0,,,,,,14.0,560.0,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,176.0,47.0,,42.0,,,,70.0,,259.0,,,,,,,,95.0,,300.0,,,,,23.0,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,1923.0,,,,,20.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,31.0,,,,,,
1967,,,,,56.0,,,,,,,,,,,,,,,,,820.0,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,300.0,,,0.0,,,,,,489.0,,,,,,,,,,,,,,24.0,,,,,,,,,0.0,,,,,,,0.0,,,0.0,50.0,,,,,,,,,,,,,,2446.0,,,,32.0,,25.0,,,,,,462.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8.0,,,,0.0,,,,,,,
1968,,,,,,,,,,,,,,,221.0,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,12.0,6452.0,,30.0,0.0,,,72.0,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,276.0,,,,,,,7306.0,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,40.0,,,,,,,,,,,,0.0,,
1969,,,,,,,,,,,,,,,,,,,,,,316.0,,,,,,,,0.0,,,,,0.0,,,7.0,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,20.0,,,,,,,,,,,,,,408.0,,0.0,,,,,62.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,540.0,,,,,,,115.0,,,,,,,,,,
1970,,,,,36.0,,,,,,,,0.0,,0.0,,,,,,,172.0,3.0,,,,,,,,,,,,407.0,,,24.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,300.0,82.0,1027.0,,,,,,37.0,,,,,,,,,,28.0,,,,,,,,,,,,11.0,,,,35.0,,,,90.0,,,,,,,61.0,,,,,,,350.0,,,,,,,3246.0,,,,,48.0,3.0,,,,60.0,,,,,,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,,,
1971,,,,,,,,27.0,,,,0.0,,,,,,,,,,239.0,,,,,,,,,,,,,51.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1323.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,2404.0,,,,,,250.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,150.0,,,,,,,,,,,,,,50.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,138.0,,,78.0,,,,,,,,,,,,458.0,,,,,,,747.0,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,2548.0,,,0.0,,0.0,,653.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.0,,,,,,,,,,
1973,,,,,,,,6.0,,,,,,,427.0,,,,,,,20.0,,,,0.0,,,,,,,,,9.0,,,,,,,,,,21.0,0.0,,,500.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,1829.0,60.0,,,474.0,7.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,,,,,,,56.0,,,,,,,,,,
1974,,,,,,,,20.0,,,,,,,28700.0,,,,,,31.0,205.0,,,,,0.0,,32.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,29437.0,,,,,,,94.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,33.0,,25.0,,,,,,,,,,,,26.0,,
