Date,AFG,AIA,ALB,ANT,ARG,ARM,ASM,ATG,AUS,AUT,BDI,BEL,BEN,BGD,BGR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BTN,BWA,CAF,CAN,CHE,CHL,CHN,COD,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,EGY,ERI,ESP,EST,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GLP,GMB,GNB,GRC,GRD,GTM,GUM,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAF,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MMR,MNG,MNP,MOZ,MRT,MSR,MTQ,MUS,MWI,MYS,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,OWID_CZS,OWID_GDR,OWID_GFR,OWID_SRM,OWID_USS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,REU,ROU,RUS,RWA,SAU,SDN,SEN,SHN,SLB,SLE,SLV,SOM,SRB,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKL,TLS,TON,TTO,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,VCT,VEN,VGB,VIR,VNM,VUT,WLF,WSM,YEM,ZAF,ZWE
1945,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,4197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,,,,,,,
1946,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.0,,,,260.0,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,
1947,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,1930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.0,,,,,,,,,,,
1948,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1800.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2971.0,,,,,,,,,,,,,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,
1949,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2804.0,,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,,,,
1950,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,,,,,,,,,,,
1951,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0,,943.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,2861.0,,,,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,100.0,,,,,
1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,750.0,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2277.0,,,,1014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,,,,,,,,,,35.0,
1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,468.0,,,,,1000.0,,,,,,
1954,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,,,,,,,,,,,,2253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,,,,,,,,,,,
1955,,0.0,,,,,,,,,,,,,,,,,,16.0,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120.0,,,,,,,,270.0,,,,,,0.0,,,,,,,,,,,,,,,,,,800.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3895.0,,,,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.0,122.0,,,,,,,,,,
1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,300.0,,0.0,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,3114.0,,,,129.0,,,,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.0,,,,,56.0,,,,,,
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,109.0,,,,,,,238.0,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139.0,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.0,,,,,,,,,,,
1958,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,1950.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,139.0,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,6.0,,,1784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,5264.0,,,,,,,432.0,,,,,,,,,,,,,,,,,960.0,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,9695.0,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1046.0,,,,,71.0,,,,,,0.0,,,,,
1960,,5.0,,0.0,,,,2.0,,,,,,8149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,42.0,,,,,,,0.0,,,,,,,,,,,9164.0,,,,631.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.0,,,,,50.0,,,,,,,,,,,
1961,,,,,,,,,,,,,,11266.0,,,,,,275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,7.0,275.0,,,,,,,,,,,,,,296.0,,,,,,,,,,,,,,,,,,,,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,106.0,,,,,146.0,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,183.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,,,1860.0,,,60.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769.0,,,,,,,,107.0,,,,,158.0,,,,,,,,,,,
1963,,,,,,,,,,,,,,22079.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1750.0,,,,,,0.0,,400.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,5000.0,,,,312.0,,,,,,11.0,,133.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,0.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,29965.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,229.0,,,,,,,,,,,
1964,,,,,,,,,,,,,,300.0,,,,,,,,,,,,,,,,,686.0,,,,,,,0.0,,,,,,,,7.0,,,,,,,,,,,,,,,14.0,,,,,,,70.0,,,100.0,,,,500.0,,,,,,,,42.0,,,,,,,210.0,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10655.0,450.0,1.0,,636.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,183.0,,,,,7000.0,,,250.0,,,
1965,,,,,,,,,,,,,,48921.0,,0.0,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,37.0,,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,59932.0,10000.0,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,570.0,,,,,,,0.0,,,,
1966,,,,,,,90.0,0.0,,,,,,850.0,,5.0,,,,,,,36.0,,,,,0.0,,,,,,,,,,5.0,,,,,,,,74.0,,,,,,,,,,,,,,,25.0,,,,,,,15.0,,,480.0,,,,18.0,,,,,,,,358.0,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2327.0,,,,18.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,36.0,,,,,290.0,,,,,,,0.0,10.0,,,
1967,,,,,,,,,,,,0.0,,91.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,0.0,,,,,,,1000.0,,,,,,,,290.0,,,,,,,,,,,,0.0,,,,,,,,,,,,111.0,,,278.0,,,,,,15.0,0.0,,,,,,,,,,,,,,,,,,2255.0,,,,107.0,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,,275.0,2.0,,,,,,,,,,
1968,,,,,,,,,,,,,,118.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,0.0,,,,,,,7.0,,,,,,,,124.0,,,,,,,18.0,,,,,,,,,,,,,,,29.0,,,,,1070.0,,,,,,,,,21.0,0.0,,,,0.0,,,,50.0,,,,2.0,,,1669.0,,,,50.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.0,,,,,,,,0.0,,,
1969,,,,,,,,,,,,,,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,269.0,,0.0,0.0,,,,,,815.0,,,,,,,,72.0,,,,,,,85.0,,,,,,,,,,,,,,,81.0,,58.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3252.0,,,,11.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,269.0,,,,,715.0,,,,,,,,,,,
1970,,,,,,,,,13.0,,,,,300317.0,,,,,,,,,,,,,,10.0,,,107.0,,,,,,,20.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,35.0,,,,,,,,,,39.0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,304495.0,,,,3802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,
1971,,,,,,,,,3.0,,,,,163.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,115.0,0.0,,,,,,9718.0,,,,,,,,135.0,,,,,,,109.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,10811.0,,,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,112.0,,,,,,
1972,,,,,,,,,,,,0.0,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,0.0,,,,,,,,,,,,,,,,,,230.0,,60.0,,,,,,50.0,,,,,3.0,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,2.0,,,3.0,,,,,0.0,,,,,,,54.0,,,1427.0,,,,435.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,6.0,,,,,,256.0,,,,,,4.0,,,,,
1973,,,,,60.0,,,,,,,,,1900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,59.0,,,,,,,,,,,,,,,1.0,,,,,1650.0,,,,,,,38.0,6.0,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4344.0,,,,346.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,50.0,,,,,100.0,,,,,,
1974,,,,,100.0,,,,76.0,,,,,2800.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,8000.0,,,,10.0,,20.0,,,,,,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,11861.0,,,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,352.0,,,,,,,,,,,
1975,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,501.0,,14.0,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,7.0,,29.0,,,200.0,,,,,,,9.0,,,0.0,,,,,,,,,,,,,,,1041.0,,,,39.0,,,,26.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,,,,0.0,,,,,11.0
1976,,,,,,,,,0.0,0.0,,0.0,,47.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,,,,,9.0,38.0,,,,,25.0,,270.0,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,,,,16.0,,720.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,82.0,,,1763.0,,,,387.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,,,,,,,,,,,,,634.0,,,,,,,,,10.0,,,,,0.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,14206.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,10.0,,10.0,,,,,,3.0,,,,,,,,,,,,,,,,107.0,,,,,,15298.0,,,,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,0.0,,,,61.0,,,,,91.0,,,,,0.0,0.0,,,,,
1978,,,,,5.0,,,,5.0,,,,,1030.0,,,,,,5.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,11.0,0.0,,,,,,811.0,,,,,1.0,,,6.0,,,,,,,0.0,,,,,,740.0,,,,,,,,,70.0,,,,,0.0,,,4.0,,,,,,,,,100.0,,,,,,,,,,,,,3676.0,,,,617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,215.0,,,,,,,,,,,
1979,,0.0,,,,,,,15.0,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,1400.0,,3.0,,,,,53.0,,,,,,,,0.0,,,,,,,13.0,,,8.0,,,,594.0,,,,,,,,71.0,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,2623.0,,,,62.0,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,0.0,,,,,
1980,,,,,,,,,,,,,,11.0,,,,,,,,,15.0,0.0,,,,,,,188.0,,,,,,,3.0,,,,,,0.0,0.0,7.0,,,,,,,18.0,,,,,,,,,,,,0.0,,,2.0,,,220.0,,0.0,,153.0,,,,,,6.0,,7.0,,,,,,,165.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1379.0,18.0,,,212.0,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0,,,,308.0,,,,,,
1981,,,,,,,,,,0.0,,,,1085.0,0.0,,,,,,,,,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,9.0,,,,,,,,0.0,,,,12.0,,,,,,,,,,,,,,,,,,805.0,,200.0,,,,,,163.0,,,,,,,113.0,,,,,,,,,,,,,,,107.0,,100.0,,,,,,,,,,,,,4.0,,,,,,,,,26.0,0.0,,,,0.0,3790.0,56.0,,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,26.0,,,,,30.0,,,,,,0.0,,,,,
1982,,,,,,,,,1.0,,,,,,,,,,,,,,33.0,,,,,,0.0,,,,,,,3.0,,24.0,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,5.0,130.0,,,,2.0,,744.0,,,,,,,,218.0,,,,,,,68.0,,,,,,,,,,,,,,,92.0,,225.0,,,11.0,,,,,,,0.0,,,,,,71.0,,,,,,,,,,,,2782.0,,,,563.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,503.0,,,,,70.0,,,,,,
1983,,,,,,,,,,,,,,685.0,,,,,,,,,,,,,,,0.0,,510.0,,,1.0,33.0,,,,,0.0,,,,,2.0,,,,,,,,9.0,11.0,,,5.0,,,,,,,,,,,22.0,,,,,,,782.0,10.0,,,,,,,109.0,,,,,,,,,,,,0.0,,,,,,,,,,42.0,,275.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.0,3590.0,,,,128.0,,,0.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,132.0,,,,,734.0,,,0.0,,10.0,
1984,,,,,,,,,,12.0,,0.0,,,,,,,,,,,10.0,,,,,,0.0,127.0,13.0,,,,,29.0,,,,,,,,2.0,,,,,,9.0,,,,4.0,,,22.0,,,,,,,,,,,,,,,4.0,,,524.0,,,,,,,,66.0,,,,,,0.0,,,,,,,,,,,,,,,,68.0,,4.0,,,,,,109.0,,,,,,,,,,,,0.0,,,,,0.0,0.0,3.0,,400.0,4934.0,,,,2679.0,,,,,,,,,,0.0,,,,,,,,,60.0,,,,,,,53.0,,,,,,,,,,,,,,0.0,,,,,,517.0,,,,,155.0,,,,,64.0,
1985,,,,,,,,,27.0,,,0.0,,15121.0,,,,,,,0.0,,22.0,,,,,12.0,0.0,,296.0,,,,2.0,,,4.0,,,,,,,0.0,,,,,,,,32.0,0.0,,,,,,,,,,,,,,2.0,,,,,0.0,,178.0,,,,,,7.0,,49.0,,,,,,,57.0,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,0.0,,,17165.0,,,,186.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,363.0,,,,,798.0,9.0,,,,,
1986,,,,,1.0,,,,7.0,,,,,184.0,,,,,,,0.0,,,,,,,0.0,0.0,16.0,368.0,,,4.0,,,,,,,,,,,,12.0,,,,,,,1.0,,,,0.0,,,,,,,,,,,5.0,,,,,,,390.0,11.0,,,,,,,17.0,,,,,,,33.0,,,,,0.0,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,1939.0,11.0,,,176.0,,,,,,,,,,,,,,,,,,101.0,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,1.0,,,,,435.0,,1.0,,,,
1987,,,,,1.0,,,,,,,,,12.0,,,,,,,0.0,,,0.0,,,,26.0,1.0,,406.0,,5.0,,24.0,,,,,,,,,,,3.0,,30.0,,0.0,,,1.0,4.0,5.0,,20.0,,,,,,1.0,48.0,,,0.0,,,,,,,,166.0,,,,,33.0,,,8.0,,,,,,,619.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,2900.0,,,,1094.0,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,61.0,,,,,151.0,0.0,,,,123.0,48.0,,,,,
1988,,,,,,,,,1.0,,,,,1064.0,,,,,,,,,,,,,,,,,335.0,,,26.0,,,28.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,54.0,,,,74.0,,,,,,49.0,,,,50.0,,,,,,,,,,0.0,,,,,,,,,,,,288.0,,,,,,100.0,,,,,,,,,,130.0,,,,70.0,6.0,,,,,,,3335.0,36.0,30.0,,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,27.0,,11.0,,,157.0,0.0,,,,,
1989,,,,11.0,,,0.0,2.0,12.0,,,,,815.0,,,,,,,0.0,,36.0,,,,,0.0,,,1115.0,,,,0.0,,,,,,,,,0.0,,0.0,,,,33.0,,,,9.0,,,13.0,,,,5.0,,,,,,,9.0,,,,,,,93.0,,,,,,,,15.0,,,,,,1.0,109.0,,,,,,,0.0,,,,,,,,46.0,,,,,,,,,,11.0,0.0,1.0,,,,,,,,,,,,,,,,,,4262.0,,,,378.0,,,,0.0,,0.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,458.0,,,,,,,,13.0,,,,,108.0,,,,0.0,959.0,,,0.0,,,
1990,,,,,,,,0.0,0.0,3.0,,16.0,,674.0,,0.0,,,,,,,,,,,,,5.0,,629.0,,1.0,,,,,,,,,64.0,,,1.0,,,,,9.0,,0.0,0.0,43.0,,,83.0,,,,0.0,,,3.0,0.0,,,,,,0.0,,,,1843.0,2.0,,,,6.0,,,40.0,,,,,,0.0,27.0,,,,,,,,,0.0,,,,,,,,38.0,,,,36.0,,,,0.0,8.0,,,,,,,,0.0,20.0,0.0,,,,,,,,,4604.0,,,,737.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,36.0,,0.0,,1.0,0.0,,0.0,5.0,,,,,162.0,,,,,102.0,,,8.0,,2.0,
1991,,,,,,,,,0.0,0.0,,,,138987.0,,,,,,,,,,,,,,0.0,,,255.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,48.0,,,,,,,,,,,22.0,,,,,,,125.0,0.0,22.0,,5.0,,,2.0,101.0,,,,,,,72.0,0.0,,,,,,,,,,,,,,36.0,0.0,13.0,0.0,,,6.0,,,4.0,,,0.0,,,,,,,,,,6.0,,,,,,,41.0,146297.0,,,,6083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,1.0,,33.0,,,,,87.0,,,,,297.0,,,13.0,,,
1992,,,,,,,,,2.0,,,,,23.0,,4.0,,,,,,,,,,,,,,0.0,860.0,,,,,,,,,,,,,,,,,,,,,,1.0,48.0,,,,,,,,,,,,,1.0,2.0,,,,,,,85.0,,0.0,,,,,,11.0,,,,,,,0.0,22.0,25.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,1344.0,,12.0,,101.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.0,,,,,,,,8.0,,,0.0,,97.0,,,,,31.0,2.0,,,,,
1993,10.0,,,,15.0,,,,0.0,0.0,,,,452.0,0.0,,,,,,,,,,,,,,2.0,,214.0,,,,,,,5.0,,,,6.0,,,,,,,3.0,,,,21.0,12.0,,,,,,,,,0.0,,,,,7.0,,,,,,,186.0,,0.0,,,8.0,,,113.0,,,,,,,32.0,8.0,,,,,,,6.0,,,0.0,,,,,,38.0,,,,7.0,,,,,2.0,,,,,,,37.0,,,0.0,,,,,,,,,2965.0,609.0,,,518.0,,15.0,,,6.0,,,,,14.0,3.0,,,,,,,4.0,,,,,,,,,,,,,,,4.0,,,,,,,0.0,,,,,0.0,291.0,,100.0,,,206.0,4.0,,,,7.0,
1994,,,,,,,,,27.0,0.0,,,,205.0,,,,,,,,,0.0,,17.0,,,0.0,0.0,,1486.0,,,,,,,2.0,,,,11.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,1122.0,,,,219.0,,,,,3.0,4.0,,3.0,,,,,,,28.0,,,,,4.0,,,,,,,,,3.0,212.0,,,,,17.0,,,240.0,,,,2.0,,,,,,,,0.0,,,,,,,,,,4239.0,36.0,,,248.0,,,1.0,,,,,,,,0.0,12.0,,,,,,,,,30.0,,,,,,,,,,,,19.0,,,,,,30.0,,45.0,4.0,,,,165.0,,,,,30.0,,,,,2.0,
