Date,AFG,ALB,ARG,ARM,AUS,AUT,AZE,BEL,BGD,BGR,BIH,BLR,BLZ,BOL,BRA,CAN,CHE,CHL,CHN,CYP,CZE,DEU,DNK,DZA,EGY,ESP,EST,FIN,FRA,GBR,GRC,GTM,HKG,HRV,HUN,IND,IRL,IRN,ISR,ITA,JOR,JPN,KAZ,KGZ,KOR,LBN,LBR,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MLT,MNE,MNG,NGA,NLD,NOR,NPL,NZL,OWID_CZS,OWID_GFR,OWID_SRM,OWID_WRL,OWID_YGS,PAK,PER,POL,PRK,PRT,PRY,PSE,ROU,RUS,SDN,SLV,SRB,SVK,SVN,SWE,THA,TJK,TUR,TWN,UKR,URY,USA,ZAF
1989,,,,,,,,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.0,,,,,,,,,,,,,,,,,,,,,,,84.0,
1990,144.0,,,,,,,,117.0,,,,0.0,,,,,,,,,,,,,,,,5.0,,,,,,,264.0,,,,,,,,,40.0,,0.0,,,,,,380.0,,,,,,,,,,,,,979.0,,18.0,,,,,,,,,,,,,,,,,,,,,11.0,
1991,80.0,,,,,,,,104.0,,,,,,,,,,,,,,,,,,,,20.0,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.0,,523.0,25.0,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,,78.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,275.0,,,0.0,,15.0,,,,,,,,,,,,80.0,,,,,18.0,,,,,,,,466.0,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,17.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,41.0,,,,,,,,,,,,,48.0,
1994,,,,,5.0,,,,29.0,,,,,,0.0,,,,104.0,,,,,,,,,,,,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0,,,,,,,,,0.0,42.0,,,,,,,,,0.0,,,,,
1995,,,0.0,,1.0,,,,120.0,,,,,,,,,2.0,,,,,,,32.0,30.0,,,,,,,,,,558.0,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,1730.0,,,,,,,,,,228.0,,,,,,,,,,,,,710.0,
1996,,,,,,,,,200.0,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,,32.0,,,,,,,16.0,,,,,,,,,,,,,,,30.0
1997,,,,,,,,,33.0,,,,,,,,,,40.0,,,30.0,,,,,,,23.0,14.0,,,,,,,,,,,,,0.0,,,,,,,,,,292.0,,,,,,,,,,,,,604.0,,100.0,,50.0,,,,,,22.0,,,,,,,,,,,,,,
1998,,,,,,,,,120.0,3.0,,,,,,,,,,52.0,,,,,,,,,,,,,,,,2641.0,,,,10.0,,,,,,,,,,,,,100.0,,,,,,,,,,,,,3269.0,,,,64.0,,,,,80.0,69.0,,,,,,,,,,,,,130.0,
1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.0,,,,,,,,,,,,32.0,,,,,15.0,,,,,,,,,,,,,771.0,,11.0,,154.0,,,,,,162.0,,,,,,,,,,,,,257.0,
2000,,,15.0,,,,,,49.0,7.0,,0.0,,6.0,7.0,,,0.0,,5.0,,,,,3.0,,,,,,27.0,,,40.0,,275.0,,,0.0,,0.0,,,11.0,,,,,,,0.0,,66.0,,,,,,,,,,,,3.0,934.0,,24.0,,84.0,,,8.0,,6.0,245.0,,,,,,,,,11.0,,0.0,7.0,35.0,
2001,327.0,,14.0,,,,,,6.0,,,,,9.0,,,0.0,,,,,,,,,,,,,,,0.0,,,81.0,173.0,,,,,,,3.0,,,,,20.0,,21.0,,,,15.0,,,,,,,,0.0,,,,1734.0,,0.0,,217.0,,,,,10.0,753.0,,,,,,,,,29.0,,,,56.0,
2002,,,0.0,,,,,,247.0,,,,,,,,,0.0,7.0,,,,,,,,,,,,,,,,,1930.0,,,,,,,,,,,,,,,,,50.0,,,,,60.0,,,60.0,,,,,2922.0,,113.0,,189.0,,,,,10.0,242.0,,,,,,,,,,,,,14.0,
2003,,,,,,345.0,,1175.0,569.0,,,,,,,,1039.0,,,,418.0,9355.0,,40.0,,15090.0,,,19490.0,301.0,,,,788.0,,1351.0,,,,20089.0,,,,,,,,,170.0,15.0,,,21.0,,,,,,965.0,,17.0,,,,,74809.0,,200.0,339.0,47.0,,2696.0,,,,,,,,0.0,289.0,,,,,,,,,
2004,,3.0,5.0,,,,,,99.0,,,,,,0.0,,,0.0,39.0,,,,,,,39.0,,,,,,,,,,259.0,,,,,,10.0,,,,,,,,,,,14.0,15.0,,,,,,,31.0,,,,,644.0,,,90.0,,,,0.0,,27.0,,,,,,,,,,10.0,,,0.0,3.0,
2005,21.0,,,,,0.0,,2.0,50.0,,,,,,,,0.0,,0.0,,2.0,1.0,,,,1.0,,,8.0,1.0,,,,5.0,6.0,419.0,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1269.0,,106.0,,136.0,,462.0,,,13.0,,,,,0.0,,0.0,,,2.0,,,,33.0,
2006,,,,,,0.0,,940.0,50.0,18.0,,5.0,,,,,,,,,13.0,12.0,,,,29.0,3.0,,1388.0,,,6.0,,,42.0,137.0,,,,8.0,,,,,,,,,,40.0,,13.0,5.0,,,,,,1000.0,,,,,,3.0,5107.0,,84.0,,55.0,,41.0,,,94.0,116.0,,1.0,,,,,,,15.0,,801.0,,188.0,
2007,,0.0,9.0,,,5.0,,,130.0,2.0,0.0,,,0.0,,,,6.0,,4.0,,,,,,,,,,,16.0,,,,500.0,161.0,,,,6.0,,62.0,,,,,,,,,,,,0.0,,,,,,,,,,,,1026.0,,,67.0,,,,,,32.0,,,,0.0,1.0,,,,,3.0,,,0.0,,22.0
2008,1317.0,,,,,,,,,10.0,,,,,,,,,145.0,,,,,,,,,,,,,,,,17.0,59.0,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,1703.0,,,,72.0,,,,,36.0,,,,,,,,,0.0,,,,,0.0,
2009,,,,,347.0,2.0,,1.0,47.0,,1.0,,,,,,,,,,,6.0,,,,,,,7.0,3.0,,,,,,155.0,,,,0.0,,16.0,,,,,,,,,,,,,,,0.0,,,,9.0,,,,,1230.0,,,274.0,218.0,,0.0,,,54.0,,,,0.0,,,,,,,,32.0,,58.0,
2010,,,42.0,,,,,,88.0,3.0,2.0,,,4.0,32.0,,0.0,0.0,,,12.0,10.0,,,,,,,3.0,0.0,,,,0.0,,350.0,,,,0.0,,170.0,,,,,,5.0,,,,,,,,,5.0,,,,9.0,,,,,57171.0,,,350.0,191.0,,0.0,12.0,,52.0,55760.0,,,5.0,62.0,,,,,,,,4.0,,
2011,,,,,,,,,62.0,,,,,,,,,0.0,2.0,,,,,,,,,,,,,0.0,,,,212.0,,,,10.0,,36.0,,,,,,,,,,,3.0,,,,,,,,42.0,,,,,653.0,,,79.0,125.0,,,,,,,,,,60.0,,,,,,,,,22.0,
2012,45.0,5.0,,,,5.0,5.0,3.0,24.0,33.0,4.0,0.0,,,,,11.0,,0.0,,32.0,6.0,,,,,1.0,,12.0,,5.0,,,7.0,16.0,98.0,,,,45.0,,,0.0,16.0,,,,30.0,,10.0,0.0,10.0,,1.0,,1.0,,,1.0,,0.0,,,,,1620.0,,,252.0,273.0,,,,,86.0,234.0,,,25.0,5.0,,,,1.0,,,195.0,,123.0,
2013,,,,0.0,,,,,48.0,,,4.0,,18.0,,10.0,,0.0,40.0,,,,,,,,,,,760.0,,,,,,723.0,,,,,,338.0,0.0,,,,,,,,,,,,,,,,,,49.0,,,,,2035.0,,,1.0,25.0,,,,,,,,,,,,,,0.0,,,,,19.0,
2014,,,,0.0,139.0,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,180.0,,,,,,27.0,,,,,,,,,,,,0.0,,,,,,,,,,,,1168.0,,139.0,505.0,78.0,,,,,13.0,,,,0.0,,1.0,,63.0,,,,,,21.0,
2015,,,,,,,,410.0,,,,,,,,,,,,,,,,,110.0,,,,3275.0,,,0.0,,,,2248.0,,,,,,39.0,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,7425.0,,1229.0,21.0,77.0,,,,,,,16.0,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,300.0,,,,,,11.0,,,6.0,,,,,,0.0,,,,,,0.0,,,,,,,,,490.0,,,,21.0,,,,,,,,,,,,,14.0,,,85.0,37.0,,,11.0
2017,,6.0,,,,,,,,,,43.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,264.0,,,,,,,,,,,,,,,0.0,,,3.0,,,0.0,,,,,,,,,359.0,,,,,,,,,,,,,6.0,,,,,,,,37.0,,,
2018,,,,,0.0,,,0.0,34.0,,,,,,,70.0,,,,,3.0,0.0,,,,9.0,7.0,,3.0,0.0,,,,,61.0,44.0,,,,1.0,,119.0,,,0.0,,,5.0,,,0.0,,,,,,0.0,,0.0,,50.0,,,,,597.0,,180.0,,9.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,
2019,,,,,0.0,1.0,,653.0,50.0,,,,,,,,,,,,,4.0,,8.0,,2.0,,,1435.0,166.0,,,,,118.0,112.0,,,,3.0,,173.0,,,,,,,,,,0.0,,,,,0.0,,400.0,,,,,,,3125.0,,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,1750.0,,,,,,,,,,,,,,,,,,,,,1924.0,2556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,,,,,,,6633.0,,,,,,,,3.0,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,815.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.0,,,,,,,,,,,,,,,,,,,,,,,229.0,
2022,,352.0,,,,419.0,,434.0,,1277.0,,,,,,,302.0,,,101.0,279.0,8173.0,252.0,,,11324.0,167.0,225.0,4807.0,3469.0,3092.0,,,731.0,513.0,25.0,26.0,,,18010.0,,80.0,,0.0,2.0,,,381.0,44.0,105.0,,,,,76.0,50.0,0.0,,469.0,30.0,,,,,,61782.0,,0.0,,763.0,,2212.0,,4.0,2455.0,,,,574.0,365.0,154.0,40.0,,,,,,,,
2023,166.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,190.0,,,,,0.0,,,,,0.0,,,,,,,,,,,2.0,,,,,,,,,406.0,,22.0,,,,,,,,,,,,,,,,,,,,,24.0,
2024,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,
